yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.0,-26.1,-71.3,-1.82,0.37,-1.03,0.35,-0.94,-0.07
-0.9,-37.73,-59.17,42.55,-41.85,-3.25,0.38,-0.97,0.05
-3.3,-14.83,-36.07,91.56,89.16,-12.95,0.65,-1.5,1.04
-5.86,4.77,25.23,250.13,78.85,-22.5,0.43,-1.34,0.48
-3.2,18.37,37.88,47.11,50.5,-12.36,-0.38,0.55,-0.3
-10.8,-9.64,8.45,-118.18,-104.8,-4.0,0.21,0.29,0.28
27.1,-34.39,-47.84,-2.13,80.98,26.53,0.79,-1.0,0.84
16.1,-51.94,-87.16,0.0,0.0,0.0,0.09,-0.95,-0.42
6.87,-29.91,-86.83,73.79,250.13,-250.0,0.61,-0.95,-0.03
-3.5,-14.91,-93.37,3.05,-30.67,32.37,0.61,-0.33,0.47
-65.2,80.8,-53.9,-12.53,-47.48,187.0,-0.37,0.37,0.5
8.42,71.16,-49.76,0.68,14.11,-4.42,1.13,-0.75,0.23
50.5,9.66,-53.37,246.92,142.48,-108.0,0.51,-1.4,0.73
48.69,-4.74,-55.66,-79.79,-20.98,-23.0,0.02,0.78,-0.04
0.0,-0.25,0.0,-173.35,-70.73,-69.0,0.33,-0.02,0.58
-4.8,-20.97,-37.01,-104.48,-44.11,21.0,0.63,-1.07,0.35
-28.02,14.35,23.59,-1.76,59.24,-24.69,1.25,-0.83,0.36
20.05,3.84,75.87,25.0,101.27,-185.0,0.01,0.23,0.46
-6.08,-1.6,56.45,13.47,172.96,-250.0,1.16,-0.44,0.38
-17.9,-20.36,10.86,15.48,9.24,-31.15,0.59,-1.21,-0.06
25.8,-42.58,-52.09,-0.14,-80.83,141.8,0.31,-1.1,0.83
-48.0,-13.23,-69.47,-35.63,-110.98,250.0,0.32,0.22,0.22
-65.0,27.94,-63.81,-11.24,-144.73,178.0,0.11,0.86,0.01
36.88,9.45,-53.28,7.0,0.0,0.0,0.19,0.33,0.48
64.7,-21.07,-60.8,-12.46,-10.33,-39.0,0.16,-0.64,0.88
-10.0,-58.83,-66.7,114.4,110.33,1.84,0.82,-1.41,0.59
0.48,-28.97,-38.28,241.58,49.18,-15.9,0.64,-0.81,-0.1
3.35,-42.1,75.24,213.91,-99.63,12.8,1.18,-0.78,0.44
-8.46,-33.85,29.42,-133.17,26.39,-32.0,0.06,0.33,0.59
-9.4,-45.1,-28.44,-222.27,-49.31,-36.0,0.98,-0.12,0.45
21.5,-88.51,-67.61,-152.78,-176.63,82.0,0.82,-1.02,0.07
-13.0,-46.34,-76.71,-39.01,160.83,-53.0,0.66,-0.93,-0.02
35.06,-7.9,-45.42,39.6,122.14,-192.0,0.13,0.74,-0.15
59.2,-45.91,-48.02,-32.96,-84.18,135.0,-0.04,0.54,0.49
54.0,-58.1,-57.83,-16.79,-143.69,228.0,0.53,-0.15,0.62
-5.8,-77.09,-56.38,-38.86,-49.98,207.0,1.33,-1.43,0.55
-3.4,-44.19,-45.39,180.98,54.9,35.02,0.53,-1.03,-0.03
