yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.3,-19.02,-73.66,-5.36,9.18,-5.93,0.28,-0.97,-0.0
-2.9,-19.83,-72.34,4.37,-2.88,-10.19,0.34,-0.96,-0.0
14.83,-9.91,-37.36,-7.92,-28.64,6.1,0.42,-0.96,-0.03
24.47,-4.9,23.32,144.94,61.5,57.27,-0.66,-1.55,0.75
24.33,-12.79,54.05,246.28,20.13,94.11,0.24,-1.12,0.69
-9.11,-20.03,44.04,119.83,-28.29,93.9,0.16,0.26,0.19
7.46,-59.72,-82.86,-198.78,-65.4,-64.0,0.31,-0.64,0.81
-8.1,-78.34,-81.9,-176.18,-65.87,28.0,0.41,-1.2,0.76
-0.6,-60.11,-77.23,0.62,-79.88,-31.22,0.41,-0.87,0.18
-63.0,-10.98,-55.68,15.53,65.12,-2.37,0.5,-0.96,0.14
-64.7,51.32,-31.96,80.98,194.05,-243.0,0.0,21.12,-1.14
8.5,47.23,-32.47,95.08,250.13,-250.0,0.05,-0.31,0.22
32.9,-43.99,-67.11,-10.76,-15.5,32.7,-0.19,0.23,0.56
-19.1,13.88,-50.43,-67.63,-25.16,154.0,0.42,-0.91,-0.15
-5.68,47.37,11.55,-64.75,-250.14,250.0,0.55,-1.37,0.73
13.39,12.25,56.49,0.72,190.2,-13.82,0.43,-1.49,0.68
-0.59,-4.53,-81.49,64.17,42.46,-73.92,0.52,0.24,-0.23
-1.6,-66.2,-84.0,250.13,138.74,-21.0,0.0,0.0,0.0
14.9,-54.61,-80.95,178.21,-123.87,51.0,0.46,0.58,0.42
-25.0,-33.14,-67.21,-235.79,11.42,-97.0,0.42,-1.3,0.78
-64.79,3.31,-32.18,-222.21,-9.35,-2.2,-0.31,-1.2,-0.14
-42.8,20.02,-16.1,-11.24,-250.14,-6.0,0.83,-0.7,0.47
26.86,19.2,-21.91,49.37,83.75,-97.12,-0.6,0.03,0.41
65.0,-45.92,-39.48,135.89,148.46,-250.0,50.13,0.0,0.0
-6.0,-113.59,-56.7,58.88,58.6,-164.8,0.3,-0.95,-0.07
5.5,-125.92,2.91,6.03,-250.14,8.36,0.12,-1.67,0.87
35.39,-78.68,55.97,6.66,48.68,-23.74,0.3,-0.82,0.51
-3.57,-90.95,64.06,239.69,-67.04,21.1,0.71,0.88,-0.25
-5.0,-107.27,-63.98,222.54,172.53,136.0,0.08,-0.99,0.74
4.6,-102.6,-62.01,33.47,-55.69,-13.7,0.09,-1.52,0.73
12.0,-127.22,-59.94,-115.56,-56.46,-61.0,0.31,-0.75,0.23
-65.0,-44.26,-2.77,-220.31,-49.92,-12.0,0.66,-0.4,0.31
-1.14,-35.92,2.91,-153.11,-1.44,-21.0,-0.22,0.09,0.58
50.8,-61.51,-24.14,7.68,5.01,17.79,0.97,-1.1,0.2
64.0,-111.89,-49.4,120.56,190.25,-250.0,0.91,-1.01,0.01
36.0,-144.44,-56.04,-109.21,-111.58,19.0,0.47,-1.04,-0.04
-6.3,-93.36,-54.77,-97.71,-205.98,250.0,0.79,-1.54,0.6
-19.02,-51.01,7.06,-26.81,-141.61,140.0,0.38,-0.06,-0.1
1.99,-47.31,63.67,0.34,-4.12,-7.43,0.44,0.66,0.21
-1.5,-43.47,44.38,250.13,150.79,-73.0,8.12,0.0,0.0
-7.2,-40.43,-17.03,230.32,18.4,7.66,1.0,-1.17,0.53
