yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.1,-26.74,-72.91,-2.53,-0.02,-2.63,0.35,-0.95,-0.07
-0.2,-27.4,-73.41,-1.99,-3.56,-0.98,0.32,-0.96,-0.07
-21.0,-25.9,-70.49,9.51,6.47,-82.37,0.55,-0.95,-0.07
-48.3,-8.39,-67.27,5.86,76.06,-185.87,0.85,-0.42,0.1
-14.71,8.91,-62.89,7.04,79.42,-56.81,0.82,-0.03,0.31
5.71,-0.11,-69.22,-36.38,-24.73,22.0,0.73,0.07,0.37
-2.7,0.27,-37.57,115.02,10.01,-10.4,0.99,0.15,0.73
-5.55,-5.77,-8.84,142.12,-23.72,27.0,0.7,0.34,0.23
-23.0,-26.99,-72.29,-37.57,17.34,-19.8,1.04,0.43,-0.07
5.94,-32.51,-90.83,-118.46,-66.27,8.7,0.74,0.17,0.82
10.5,-21.42,-55.93,-32.4,-7.28,-92.5,1.07,0.41,0.36
20.7,-18.94,-53.26,-86.43,-14.49,22.8,0.66,0.04,0.18
3.13,-29.13,-11.93,-19.53,-0.63,-35.5,1.03,-0.53,0.34
2.31,-32.8,25.99,-1.57,15.31,79.91,0.99,0.24,0.12
8.91,-8.43,48.79,157.62,-36.21,12.0,0.86,0.01,0.76
-16.0,-10.21,-15.18,-160.29,74.91,-63.0,1.21,0.26,0.41
0.89,-43.69,-48.28,-124.79,-119.47,3.0,0.88,0.48,0.18
-0.2,-57.32,-71.47,-99.03,16.63,21.82,0.69,-0.02,0.78
-11.0,-58.28,-53.29,-5.89,-57.38,-0.76,0.82,0.49,0.5
24.6,-62.4,-38.69,64.0,-1.55,-42.9,0.88,-0.08,0.25
-0.66,-60.62,27.93,138.09,27.73,-15.5,0.83,-0.51,0.53
5.96,-70.84,34.27,119.84,-18.22,-2.5,0.76,-0.21,0.14
-10.57,-56.26,0.0,28.23,-39.99,22.92,1.21,0.3,0.25
-9.6,-63.7,-33.3,-142.42,-32.21,-16.0,1.18,0.04,0.51
-6.1,-77.04,-57.93,-31.03,1.95,-36.94,0.81,0.29,0.21
6.12,-80.43,-61.2,-15.85,-18.79,23.5,1.07,0.21,-0.41
28.2,-67.32,-24.87,56.76,43.76,-84.57,0.77,0.14,0.61
-0.09,-63.29,-5.06,70.64,6.27,108.69,1.11,0.45,0.75
-8.85,-71.99,27.16,74.68,14.61,-0.37,0.59,-0.54,0.24
3.11,-87.53,48.97,125.82,-33.9,-34.0,0.93,-0.26,0.3
-2.5,-65.67,-33.4,-52.62,28.21,-79.3,1.11,0.47,0.13
20.3,-64.97,-58.03,-53.91,-22.48,72.7,1.06,0.13,0.66
-13.0,-52.9,-53.57,0.0,20.74,-0.41,0.83,0.23,0.21
7.12,-45.15,-21.64,12.92,-22.26,48.03,9.0,-0.3,0.0
-8.83,-39.66,26.73,171.07,48.04,-34.0,1.15,0.35,0.32
5.61,-59.9,56.75,119.95,-78.15,21.5,0.82,-0.3,0.25
-0.3,-56.16,42.02,-53.95,15.36,-1.18,1.02,0.35,0.68
3.72,-52.93,7.98,-133.15,14.78,14.3,0.95,0.2,0.37
1.74,-65.43,-29.69,-151.77,-50.51,6.7,0.68,0.39,-0.18
-25.0,-58.26,-36.15,-88.04,8.59,36.14,0.87,0.4,-0.24
9.36,-56.25,-56.81,36.27,-31.21,89.73,0.9,-0.1,0.49
-8.2,-54.39,-55.36,138.02,-41.05,-8.8,1.01,0.23,0.51
23.2,-51.67,-31.97,7.88,-10.79,-5.67,0.76,0.3,0.08
-2.31,-66.24,43.64,-123.17,45.76,-2.6,1.0,0.24,-0.35
-1.47,-68.95,44.36,-154.61,-10.53,29.0,1.0,0.29,-0.06
-0.69,-57.75,12.61,0.0,0.0,0.0,1.07,0.38,0.46
7.68,-60.19,-26.4,0.85,1.44,27.89,0.0,360.7,10.16
-22.0,-53.33,-27.76,0.0,20.81,-0.08,0.27,130.37,0.0
-14.0,-71.81,-37.06,156.29,-27.99,18.0,0.6,0.29,0.32
0.61,-71.26,41.24,2.63,2.12,2.18,1.09,0.29,-0.2
-9.68,-59.54,10.78,-118.9,47.73,-37.0,0.89,0.26,0.06
5.14,-69.88,-28.2,-155.24,-43.8,19.0,0.69,0.09,0.69
-21.0,-73.52,-30.28,-98.65,2.65,30.83,0.0,21.14,0.47
8.02,-73.01,-53.9,-14.27,-9.95,-5.14,0.98,-0.09,0.2
-1.4,-74.88,-56.61,44.96,66.66,-39.46,0.84,-0.46,0.43
-10.0,-58.07,-43.44,101.25,-3.74,2.73,0.95,-0.12,0.35
27.4,-79.16,-33.21,-182.03,-0.99,52.9,1.13,-0.04,0.56
0.71,-79.47,-6.77,-88.76,35.21,-54.2,0.52,0.03,0.38
-10.8,-81.79,27.83,32.15,39.47,-44.57,1.35,0.15,0.57
-1.93,-87.6,18.84,33.13,-35.18,91.66,0.76,-0.32,0.5
13.7,-86.47,-27.06,75.29,-19.92,41.78,0.86,-0.07,0.57
-14.0,-76.88,-47.89,184.95,-36.59,-33.0,1.06,0.29,0.94
-17.0,-68.16,-66.92,76.0,-41.27,6.07,1.06,0.04,0.47
-11.0,-54.01,-58.72,-61.4,18.15,-4.87,0.86,0.31,-0.15
10.8,-67.18,-27.19,-72.91,-14.87,78.1,0.86,0.53,-0.13
-8.79,-76.29,20.32,7.22,43.25,-40.66,0.84,-0.26,0.51
1.57,-86.22,39.2,57.87,43.82,57.4,0.82,-0.04,0.32
-1.27,-80.55,23.57,71.89,-61.04,61.99,1.18,0.17,0.69
-3.0,-78.97,-29.81,171.16,-33.78,-51.0,1.08,0.06,0.29
0.0,0.0,0.63,-62.78,20.73,-0.73,0.88,0.36,-0.24
-10.0,-63.7,-49.16,-128.27,13.54,32.3,0.82,0.17,0.26
14.9,-52.96,-32.85,-116.83,-10.32,-15.0,0.9,0.03,0.84
16.0,-68.38,-13.38,-19.55,-27.78,-72.0,1.03,0.34,0.32
-13.3,-77.04,29.85,-68.15,65.53,26.91,1.03,0.17,0.73
-0.2,-75.86,36.01,5.7,-3.86,-53.89,0.81,0.12,0.17
8.45,-72.19,2.88,45.14,6.89,36.18,0.95,0.05,0.64
-3.9,-73.75,-26.22,64.92,-58.92,66.02,1.08,0.3,0.38
-13.0,-62.13,-44.83,119.34,20.47,-8.25,0.83,-0.03,0.32
9.37,-60.51,-32.49,-152.08,40.74,-8.2,0.9,-0.46,0.44
17.1,-74.9,-14.75,-43.69,49.85,-102.0,1.31,0.23,0.45
-7.59,-85.17,26.62,-80.57,14.47,51.41,1.01,-0.04,0.35
-2.14,-79.48,56.03,-2.91,-16.83,-40.0,1.1,0.31,-0.38
-2.13,-67.64,8.43,75.14,-120.08,90.0,0.82,0.23,-0.01
4.48,-78.54,-24.93,162.92,14.98,-66.3,1.08,-0.02,0.59
-26.0,-65.64,-34.21,116.47,-10.07,-10.0,1.19,0.18,0.32
