yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.03,-21.2,-75.25,-20.98,-5.81,0.66,0.35,-0.88,-0.23
-0.4,-22.25,-74.95,0.55,-4.27,-1.56,0.31,-0.95,-0.07
2.48,-1.34,-77.74,-14.06,84.98,9.54,0.53,-0.9,0.24
-12.9,31.3,-34.34,171.21,133.66,-50.0,0.47,-1.4,0.78
-12.01,38.96,13.53,193.62,41.47,-46.0,0.18,-0.23,0.06
1.45,32.17,12.14,-14.27,-20.18,5.6,0.05,0.45,0.18
49.38,4.54,-29.68,-161.03,-98.09,190.0,0.6,-0.43,0.31
41.45,3.4,-64.52,66.06,71.85,-53.74,0.77,-1.17,0.51
-37.32,55.81,0.38,193.47,150.45,-143.0,0.48,-1.12,0.6
-11.35,48.58,30.84,-205.76,-88.21,149.0,0.8,-0.86,0.75
38.73,19.79,-44.81,-75.53,-179.39,57.0,0.37,-1.15,0.61
14.9,-26.42,-64.2,217.4,103.99,-107.0,0.68,-1.18,0.47
-13.94,0.84,-49.71,129.3,10.03,-42.0,0.48,-1.08,0.65
-28.02,25.93,4.42,-84.65,-130.08,68.0,0.03,0.28,0.24
-10.92,27.18,38.48,-190.19,-39.63,135.0,0.12,0.26,0.31
34.9,-18.2,-31.77,-88.66,23.26,71.06,1.02,-0.75,0.95
18.4,-12.64,-54.33,167.47,81.61,-72.9,0.63,-1.04,0.95
-18.88,7.4,-12.53,182.24,25.2,-48.4,0.52,-1.22,0.87
-12.6,12.79,32.04,-172.66,-60.92,144.0,0.15,-0.34,0.45
-0.07,6.39,42.05,19.47,-72.21,-2.0,0.88,-1.06,0.71
18.8,-25.85,7.92,191.69,68.65,-80.5,0.67,-1.18,1.0
37.3,-41.35,-37.05,-38.35,-1.97,14.14,0.62,-1.3,0.82
-0.5,-58.65,-32.49,-136.34,-94.11,99.0,0.12,0.37,0.33
-20.8,-40.12,14.41,-154.26,-13.24,95.0,0.67,-0.28,0.76
-19.4,-41.47,52.79,218.85,62.21,-73.4,9.0,24.79,0.0
3.68,-40.83,42.97,122.16,2.18,-27.6,0.89,-0.93,0.89
25.71,-64.17,6.73,-62.64,-102.16,28.0,0.46,-1.0,0.8
-3.4,-50.19,-24.39,-186.85,-78.41,105.0,-0.03,0.22,0.2
-19.0,-33.5,29.1,-118.02,-35.46,75.0,0.34,0.39,0.57
7.34,-56.56,43.55,200.03,99.08,-62.8,0.49,-0.51,0.83
27.41,-74.94,-5.95,68.98,-16.61,-23.9,0.68,-0.99,0.73
19.6,-81.91,-36.85,-213.48,-61.32,112.0,0.61,-1.22,0.91
-10.6,-62.77,-7.1,195.27,42.22,-56.4,0.32,-0.68,0.61
-16.2,-36.39,41.13,49.82,0.55,-9.34,0.06,0.32,0.34
-6.26,-39.4,58.46,-109.59,-96.89,101.0,0.12,-0.62,0.41
13.66,-57.04,34.52,-168.89,-57.47,108.0,0.14,0.29,0.33
16.5,-72.04,-44.71,-32.48,34.09,40.06,0.93,-1.03,0.63
