yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.14,1.38,6.12,11.48,54.1,2.73,0.29,0.32,0.54
20.2,-13.66,-21.7,-105.61,-51.04,74.0,0.5,0.03,0.59
25.8,-25.27,-55.06,-130.98,-43.48,99.0,0.67,-0.78,0.72
13.9,-24.03,-71.74,-68.05,5.72,53.98,0.58,-0.88,0.49
-17.7,-6.25,-51.95,69.54,66.63,-63.31,0.7,-1.06,0.84
-27.1,-4.37,-12.47,155.74,12.85,-104.0,0.76,-0.72,0.59
-12.88,9.28,11.54,94.89,59.18,-49.73,0.3,-0.02,0.5
-8.29,3.27,24.97,47.62,-21.5,-32.0,0.09,0.58,0.46
17.91,-13.25,5.64,-167.96,-40.08,162.0,0.43,0.46,0.53
16.7,-20.99,-60.57,-92.87,15.89,64.81,0.89,-0.44,0.79
0.05,-14.04,-55.15,-27.01,-34.96,24.5,0.77,-0.91,0.51
-22.0,-19.15,-16.42,-134.94,-34.24,116.0,0.0,20.31,-1.01
-27.72,5.43,8.19,-125.93,-36.69,114.0,0.17,0.45,0.48
-12.06,15.87,22.13,-18.27,-3.21,21.19,0.69,-0.0,0.69
29.7,-15.14,-50.09,116.25,58.08,-39.3,0.86,-0.77,0.73
-10.23,12.73,1.5,86.11,10.95,-64.24,0.7,-0.92,0.6
-16.7,13.85,23.76,30.95,-9.79,-23.18,0.64,-1.0,0.75
-6.0,11.03,32.51,-78.29,-67.8,72.4,0.54,-0.47,0.76
18.77,-7.04,13.08,-76.85,-6.78,55.55,0.31,0.23,0.54
-8.6,-12.67,-42.23,21.54,63.82,-33.18,-0.05,0.53,0.44
-20.65,3.23,-7.28,140.37,66.67,-79.7,0.19,0.32,0.44
-12.22,13.83,21.13,113.89,47.9,-47.1,0.72,-0.97,0.63
6.99,-1.33,28.97,-27.6,-50.53,24.9,0.66,-0.87,0.76
29.57,-10.74,-9.82,-151.18,-30.88,114.0,0.35,-0.06,0.61
26.9,-15.79,-51.45,-162.58,-16.87,104.0,0.17,0.51,0.48
7.64,-12.52,-61.75,-41.95,15.64,29.37,0.74,-0.02,0.75
-17.6,-19.9,26.98,2.01,-28.85,-15.16,0.72,-0.87,0.74
32.7,-48.73,-23.79,119.01,-64.18,-58.0,0.64,-0.89,0.53
20.8,-52.51,-51.7,-43.43,-87.33,48.6,0.48,-1.08,0.47
-13.0,-15.42,-16.93,-162.34,-35.3,117.0,4.0,12.59,0.0
-10.0,-1.85,15.64,-109.07,-17.83,80.0,0.19,0.39,0.44
0.14,1.53,34.39,115.44,102.33,-51.0,0.75,-0.22,0.89
13.26,-17.42,5.3,130.49,55.4,-38.4,0.72,-0.92,0.65
25.2,-38.25,-41.11,73.36,14.82,0.56,0.51,-0.92,0.74
14.0,-40.42,-62.14,13.36,-22.75,-1.18,0.12,0.32,0.62
