yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-2.58,9.34,-25.56,38.95,-218.38,-51.0,0.07,-0.35,0.81
-18.0,-23.66,-39.54,-55.02,-119.53,-69.0,0.69,-0.34,-0.55
14.0,-48.43,-9.62,111.85,-98.08,53.8,0.74,0.26,-1.21
-0.6,-37.61,-14.93,-23.34,41.66,-2.44,0.67,0.06,-0.85
10.84,24.7,-4.57,38.07,250.13,41.69,0.34,0.06,0.39
1.0,33.95,-12.45,-32.32,44.69,3.85,0.45,-0.01,1.13
9.59,39.72,-23.55,-39.26,29.31,37.05,0.07,-0.74,0.71
3.48,-71.92,-3.26,34.4,-133.83,-41.0,-0.0,-0.46,0.81
8.63,-65.72,-5.82,94.11,-109.07,13.3,7.79,-45.25,-11.04
20.01,0.72,-12.63,-12.66,18.73,33.19,0.71,-0.04,-1.16
-9.93,11.81,1.11,-20.16,250.13,76.9,0.42,-0.74,0.86
13.76,25.35,-11.3,51.03,47.95,-38.35,0.03,-0.36,0.8
-0.89,25.0,-7.64,-43.66,59.62,53.14,0.67,0.26,-1.02
-11.0,-63.58,-11.96,16.81,2.98,-3.44,0.88,0.12,-0.95
3.59,-81.46,14.32,-51.77,-95.18,-44.0,0.13,-0.04,0.48
2.9,4.38,-2.06,94.21,-71.11,12.83,0.33,0.05,1.2
-5.07,3.18,6.8,-37.36,80.66,44.02,0.7,-0.6,0.8
15.36,-5.66,-12.81,-25.52,250.13,11.1,0.64,0.04,-0.82
-1.8,-96.23,-11.53,34.91,-1.62,-19.58,0.73,0.47,-1.09
13.4,-103.61,13.3,-73.01,-29.44,59.3,1.0,-0.19,-0.79
-3.77,-39.08,2.95,-0.36,-86.97,-7.23,0.17,-0.72,0.7
-10.85,1.45,11.37,94.82,-40.08,52.01,0.04,-0.26,0.83
15.74,11.49,-12.44,-37.98,250.13,-14.0,0.78,0.51,-0.79
-3.01,4.36,-10.13,6.65,40.56,-38.73,1.16,-0.09,-0.72
17.01,-91.18,-6.72,-86.71,42.17,60.77,4.72,-8.57,14.64
2.65,-27.65,-10.59,10.11,-26.39,-11.6,0.12,-0.21,0.51
-5.6,-28.54,-14.27,8.0,-250.14,-68.51,0.63,-0.29,-0.57
-11.3,-5.74,-13.16,6.44,-3.34,65.44,0.72,0.51,-1.35
-14.0,-85.48,-13.11,-16.07,250.13,10.2,0.63,-0.24,-0.86
19.5,-95.25,23.73,-19.1,-5.27,-21.7,0.0,0.0,0.0
-0.14,-75.44,8.13,-43.01,78.07,56.53,0.84,-0.13,-0.72
0.61,-12.72,10.37,43.56,8.95,-40.57,0.62,0.75,-1.15
-7.88,3.17,13.16,142.52,-48.6,75.0,0.73,-0.05,-0.95
22.36,10.58,-6.42,12.11,66.13,-30.41,0.44,0.38,0.46
-16.66,-60.21,3.74,-93.76,-79.85,-65.0,-0.02,-0.55,0.51
