yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.38,0.92,-24.12,-4.66,13.46,-7.6,0.02,-0.36,0.7
-1.65,8.85,-37.63,-49.15,28.9,-5.89,-0.07,-0.51,0.87
0.78,-0.75,-23.47,56.68,-40.27,3.02,-0.48,-0.86,1.07
-2.46,-18.82,64.92,245.56,-49.64,15.6,0.04,-0.19,0.86
-0.05,-25.99,48.76,93.84,-20.98,-8.82,0.21,0.88,0.05
9.34,-11.81,0.97,-65.44,-28.85,-0.2,0.32,0.93,0.2
-14.2,11.76,-54.61,-186.49,57.14,35.9,0.31,0.2,0.55
0.0,0.0,9.0,81.35,-20.74,-4.57,-0.19,-1.05,0.76
2.98,8.68,-56.87,-56.51,-22.24,8.9,-0.12,-0.78,0.94
7.57,-0.18,-13.06,-181.93,87.98,27.5,0.28,0.88,0.05
-1.19,-24.29,62.62,138.72,-29.5,-10.0,0.33,0.93,0.15
2.31,-29.62,48.81,38.33,-13.96,2.32,0.29,0.43,0.56
7.13,-7.46,2.98,-178.61,150.43,-6.0,-0.47,-0.83,1.01
-7.85,18.46,-47.62,161.72,-40.91,10.3,-0.32,-0.77,0.83
-5.6,-13.84,16.68,155.97,-68.98,22.3,-0.02,-0.16,0.94
-2.85,-21.57,52.62,7.15,-2.65,7.6,0.29,0.57,0.39
0.6,-24.76,63.05,-154.77,29.84,-1.7,0.3,1.15,-0.06
-1.58,16.8,-12.97,-215.94,111.51,-6.0,0.32,0.78,0.28
2.89,29.79,-3.65,48.84,-46.58,23.15,-0.01,0.18,0.75
5.8,11.14,35.94,199.64,-58.85,12.8,-0.24,-0.67,0.62
4.89,10.76,64.79,154.07,-82.75,-27.0,-0.43,-0.83,0.99
1.97,8.9,66.74,112.66,-72.32,-9.7,0.08,0.17,0.72
-0.5,15.78,24.57,-68.21,18.88,15.38,0.41,1.16,-0.16
-1.62,42.84,-30.4,-72.32,45.32,-41.0,0.26,0.61,0.39
6.0,28.17,-42.94,135.01,-82.23,48.4,0.01,-0.12,0.92
3.35,12.56,7.54,237.76,-1.95,31.39,-0.31,-0.85,0.81
-7.0,-9.55,46.85,122.32,-27.13,-22.0,0.13,0.97,-0.08
-2.52,-27.52,76.33,-130.21,45.14,-9.8,0.3,0.81,0.09
4.31,-22.16,57.7,-226.64,104.89,-26.0,-0.38,-0.82,1.0
12.5,-14.12,-11.45,15.87,-40.28,22.67,-0.27,-0.93,0.97
8.82,-13.49,52.35,183.15,-81.74,6.47,-0.22,-0.29,0.77
-2.56,-10.99,46.95,84.75,-83.45,-9.03,0.27,1.19,-0.11
-6.8,16.04,-11.59,-177.01,71.01,8.41,0.24,0.75,0.34
-9.22,21.96,-44.53,-40.07,-62.76,-26.0,-0.4,-0.99,0.69
1.81,-10.36,8.98,116.32,-112.61,48.0,-0.09,-0.61,0.97
-4.54,-20.67,50.86,32.53,-9.49,10.63,0.2,0.82,0.1
-2.35,-41.22,72.96,-86.81,31.06,13.85,0.14,0.59,0.38
1.54,-39.99,61.71,0.0,7.59,0.0,-0.32,-1.01,0.7
2.18,-21.17,17.47,-197.33,107.53,29.0,0.27,0.55,0.25
-3.71,6.64,-43.58,-242.82,130.23,-52.0,0.29,0.88,0.08
-7.56,-9.36,-54.48,113.85,-87.88,28.5,0.24,0.39,0.59
3.87,-74.36,56.75,197.21,-95.92,-8.3,0.12,-0.25,0.89
-13.0,-10.77,-55.95,189.04,-171.7,68.0,-0.4,-0.93,0.88
-0.4,-10.22,-65.5,156.06,-66.28,-48.0,0.27,0.15,0.72
0.0,0.0,0.78,95.89,-62.02,-18.7,0.2,0.71,0.27
0.0,7.43,0.18,9.38,5.72,1.91,0.33,1.1,0.12
-2.16,-54.07,13.52,-132.11,52.31,13.8,-0.27,-0.48,1.0
-2.63,-80.1,49.74,-217.72,159.52,-26.0,0.27,0.28,0.6
6.51,-78.69,51.82,44.44,-42.15,30.21,0.29,0.92,0.11
2.69,-50.5,21.93,193.15,-86.12,9.76,-0.09,-0.78,0.86
-9.87,-1.33,-57.63,178.31,-104.69,-10.0,-0.12,-0.78,0.77
4.98,-4.58,-53.5,77.8,17.96,9.03,0.06,-0.11,0.87
-12.6,-61.88,33.52,-243.84,81.2,-65.0,0.28,0.81,0.21
-4.86,-75.4,58.61,-49.34,-52.16,-15.0,-0.42,-0.86,0.61
0.5,-71.62,61.5,128.5,-75.96,17.0,0.01,-0.8,0.94
3.87,-55.38,26.02,206.05,-41.88,-6.8,0.2,-0.08,0.85
-6.9,-12.87,-29.68,155.34,-77.65,-24.0,0.27,0.68,0.31
-18.4,-7.68,-50.8,1.85,-0.33,12.89,0.39,1.1,0.0
2.54,-37.34,9.05,-146.42,50.42,14.7,-0.89,-0.9,0.73
-2.65,-62.78,53.94,7.66,-36.37,23.57,-0.51,-0.78,0.73
2.35,-56.49,74.04,155.44,-137.27,21.0,0.24,0.07,0.74
-3.4,-59.3,65.32,184.43,-44.37,-26.0,0.35,0.69,0.32
4.44,-52.13,-30.55,96.17,-67.06,-24.0,0.74,0.97,0.02
-6.29,-79.39,65.55,10.43,-36.15,4.67,-0.41,-0.78,0.73
3.34,-76.68,66.17,-135.97,87.81,2.29,-0.24,-0.64,1.01
3.82,-61.77,29.64,-198.71,102.22,-10.0,-0.4,-0.67,0.77
5.53,-51.15,-16.74,82.6,-58.86,28.2,0.37,5.42,0.0
-6.85,-60.7,29.75,-35.34,-17.79,4.49,0.11,0.37,0.5
-6.25,-75.82,54.92,19.98,-8.47,25.46,0.28,0.93,-0.05
1.21,-82.55,58.13,177.15,-84.11,38.8,0.21,0.45,0.55
-6.3,-33.22,-48.79,-71.15,28.09,-10.2,0.74,-7.64,0.0
7.65,-37.58,-36.98,-178.32,136.18,-2.0,-0.4,-1.0,0.83
-1.26,-69.16,-7.13,-169.77,132.93,-91.0,0.03,-0.14,0.85
-6.22,-80.84,32.63,-20.54,-20.47,-12.0,0.4,1.21,-0.22
7.3,-93.24,54.08,200.85,-80.39,-35.0,-0.46,-0.81,0.72
1.17,-95.45,45.2,48.45,43.74,22.71,-0.31,-0.83,0.96
0.0,0.0,0.1,137.26,-103.16,39.0,0.02,0.11,0.54
6.62,-29.49,-44.53,207.98,-65.53,-17.0,-0.07,-0.24,0.56
10.06,-48.77,0.04,161.21,-21.01,-3.3,-0.66,-1.05,0.57
-6.77,-78.05,45.32,7.03,-1.57,18.63,-0.61,-0.89,0.67
-2.67,-72.77,54.28,-127.66,22.46,-22.0,-0.18,-0.54,1.08
-23.7,-1.16,-35.2,-0.64,-19.92,12.18,0.09,0.27,0.54
-3.33,-5.13,-40.47,211.38,-133.71,-8.0,-0.7,-1.16,0.48
-9.19,-76.39,57.56,-92.43,37.65,-52.0,0.23,-0.28,0.84
5.9,-63.1,70.26,220.02,-67.71,30.1,0.31,1.21,-0.01
-4.11,-63.75,54.32,5.0,0.44,0.0,0.33,0.86,0.23
-4.68,-47.87,1.53,170.98,-54.08,-24.0,-0.82,-1.09,0.59
11.0,-50.69,-35.62,50.73,-14.41,34.28,-0.59,-0.82,0.66
-4.6,-65.1,17.36,-206.18,92.34,-12.0,-0.19,-0.87,0.9
