yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.1,-19.96,-77.6,-2.01,-1.82,2.09,0.28,-0.97,0.07
0.53,-20.2,-78.73,-2.83,-1.23,-4.17,0.26,-0.98,0.07
0.05,-19.93,-79.2,-2.78,-1.35,2.06,0.26,-0.97,0.07
-4.82,7.98,-81.42,-2.73,0.42,0.19,0.28,-0.98,0.07
0.42,17.16,-70.66,-10.46,111.76,-18.0,0.33,-1.05,0.21
7.05,8.88,-7.65,40.08,40.85,1.61,0.32,-0.94,0.37
-8.45,9.39,49.4,250.13,-27.81,27.2,0.37,-0.99,0.73
3.98,5.49,55.48,220.85,6.93,-32.63,0.19,0.89,0.2
-2.13,-0.07,-24.27,20.69,-12.24,15.37,0.12,0.1,0.37
-9.56,25.28,-63.38,-250.14,26.74,-8.2,-0.12,-1.47,0.84
2.56,22.75,-55.62,-151.54,101.27,-36.0,0.02,-0.89,0.6
1.1,13.73,59.38,29.86,-5.96,9.85,-0.18,-0.99,0.62
-4.44,-1.97,42.49,250.13,-81.53,95.7,0.18,0.99,0.15
0.82,2.91,-8.46,-89.05,-42.36,-17.0,0.13,0.19,0.7
-28.8,60.43,-67.32,-200.44,21.01,3.18,-0.45,-1.46,0.68
-2.57,56.69,-65.43,-228.29,229.29,-11.0,0.01,-0.03,0.72
6.2,18.17,42.61,247.11,-56.47,23.8,0.27,0.82,0.13
0.34,19.36,70.13,106.29,10.6,1.31,0.43,0.99,0.11
-1.13,23.42,39.64,-100.12,36.59,-4.0,0.27,-0.07,0.61
-0.9,43.08,-24.61,-250.14,86.35,-3.4,0.2,0.37,0.57
-14.3,34.33,-38.74,101.13,-15.98,56.7,0.15,1.16,-0.23
14.75,29.68,-13.88,150.18,-15.21,14.5,0.26,0.97,0.2
11.98,7.58,38.25,20.66,-75.51,-10.3,0.24,0.9,0.22
3.79,2.82,75.47,-25.31,-15.26,-5.3,-0.53,-1.18,0.9
-2.69,-16.37,80.65,-23.56,-100.47,18.0,-0.2,-0.79,0.66
-1.39,-20.09,73.99,161.34,-58.78,-23.0,-0.15,-0.68,1.12
0.39,-23.56,51.34,-18.11,-14.18,-3.8,0.27,0.44,0.61
4.76,-25.55,-20.39,-143.62,-4.89,17.7,0.3,0.96,0.22
5.06,-26.99,-11.78,-250.14,207.13,-10.0,0.18,0.69,0.31
-6.03,-45.93,82.33,84.75,-6.8,50.24,0.44,-0.52,0.43
0.86,-44.49,88.93,183.94,-24.5,22.9,-0.02,-0.82,0.8
-0.99,-46.93,83.61,-5.51,4.54,4.38,-0.26,-0.91,0.84
4.6,-46.79,47.05,-29.51,-8.82,-5.95,0.05,-0.31,1.03
-2.81,5.45,-18.87,-234.58,57.47,-28.0,0.09,0.88,0.39
14.02,-10.82,7.55,0.0,0.0,86.79,0.01,0.29,0.49
1.13,-11.09,86.36,2.41,-13.32,2.77,0.0,0.0,0.0
-1.55,-13.07,78.15,200.03,-100.3,67.0,0.14,0.58,0.34
-7.38,1.74,17.71,219.5,-101.11,18.0,0.06,-0.8,0.9
-36.8,24.02,-33.23,41.97,-8.21,-4.1,0.07,-0.06,0.78
18.8,-7.42,20.43,-206.55,35.32,-4.8,0.17,0.69,0.32
4.67,-32.29,75.27,-250.14,157.89,-56.0,0.24,0.97,0.19
-0.69,-33.87,80.48,7.0,2.34,0.0,-0.5,-1.41,1.02
-1.26,-24.2,28.21,5.89,-46.47,9.0,-0.18,-0.77,0.67
-14.7,15.7,-37.69,175.24,-65.09,-3.6,0.15,0.19,0.77
-0.95,-32.73,47.59,104.66,-104.08,-21.0,0.16,0.84,0.18
-0.61,-64.66,63.13,14.66,-29.21,1.37,0.36,0.97,0.19
-16.0,-20.12,-43.25,30.13,6.24,8.79,-0.34,-0.9,0.63
2.29,-17.35,-35.91,199.11,-51.75,4.53,7.0,145.89,-65.04
19.04,-56.55,15.7,64.01,-20.12,1.2,0.28,0.92,0.04
1.18,-67.63,65.32,-19.2,-11.0,-3.1,0.26,0.77,0.35
0.31,-70.35,81.58,-71.75,-22.29,-10.0,-0.27,-1.29,0.89
-0.8,-71.07,76.24,-250.14,199.66,-30.0,-0.36,-0.91,0.75
-2.65,-74.27,58.06,16.82,-93.61,-12.0,0.21,-0.32,0.87
-7.99,-22.08,-6.26,-28.43,-0.2,-11.0,0.15,0.6,0.13
0.0,0.82,4.0,-73.21,16.2,0.25,0.31,0.99,0.13
3190.09,0.0,0.12,192.18,-8.09,-17.3,0.11,-1.0,0.64
-3.14,-88.7,92.63,171.57,-106.29,-37.0,0.21,0.94,0.31
-2.85,-86.08,84.09,-26.85,14.5,20.83,0.16,0.84,0.38
0.07,-79.27,64.8,-250.14,156.77,-81.0,0.12,0.28,0.51
-7.1,-52.98,-0.71,3.0,0.0,0.0,-0.04,-0.9,0.55
7.29,-74.4,-3.56,-23.84,7.75,4.47,0.1,8.99,0.0
-10.0,-102.63,103.75,-35.37,-5.58,-11.8,-0.19,-1.0,0.76
5.42,-95.6,95.75,-250.14,37.6,-14.0,0.18,0.92,0.37
-1.91,-88.96,83.44,19.61,-6.43,6.98,0.13,0.8,0.48
3.17,-42.79,-24.66,89.34,-38.02,34.57,0.02,-0.09,0.61
0.0,0.0,8.0,-52.55,-1.3,-6.53,0.23,0.4,0.58
0.0,0.0,8.2,-250.14,59.31,-33.0,0.22,0.93,0.19
10.6,-52.77,66.02,204.42,-118.17,29.0,0.24,0.95,0.36
1.16,-46.68,85.89,211.64,-77.84,-28.0,-0.03,-1.26,0.77
-3.07,-46.61,76.21,-1.44,12.23,-2.78,-0.04,-0.74,0.76
-3.83,-35.86,12.08,-250.14,162.5,-68.0,-0.22,-0.77,0.72
