yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-3.06,-2.5,31.78,-30.94,67.91,-61.1,-0.14,0.68,1.04
7.22,-26.8,-11.43,-145.69,-86.27,24.0,-0.05,-0.04,0.38
-4.88,1.85,-20.92,149.72,-2.15,-11.6,-0.2,-0.32,1.65
-3.03,1.41,17.25,24.21,7.5,23.66,-0.09,-0.02,1.13
6.13,3.5,23.69,-112.73,7.49,38.95,-0.11,0.43,0.81
10.09,5.05,-4.85,111.71,-18.96,-25.0,0.05,0.14,0.71
-8.5,17.33,-27.23,82.44,57.08,-8.58,0.14,0.16,1.01
-2.22,24.91,23.31,-113.58,5.24,37.7,0.2,0.4,1.07
9.8,25.35,-3.19,-124.18,-64.54,-19.0,-0.02,0.39,0.14
-12.19,13.43,-6.85,100.47,26.18,-46.8,0.04,-0.01,1.16
-2.82,4.05,19.11,98.79,-36.23,-10.8,-0.09,0.56,1.06
5.82,11.36,14.79,-20.72,30.6,22.46,0.06,0.61,0.72
-11.39,8.26,0.12,0.19,64.29,-43.97,0.36,-0.16,1.49
-5.22,17.89,17.27,-104.52,-44.47,28.0,-0.05,0.3,0.34
7.25,6.39,-7.75,-91.37,-112.2,-1.0,-0.26,0.37,1.16
-0.5,-22.48,-29.07,50.82,133.38,22.13,-0.19,0.65,0.66
1.57,-10.23,13.37,106.69,-90.7,6.02,-0.01,0.5,0.55
1.35,-4.79,14.83,1.05,18.26,5.19,-0.12,0.04,0.36
10.9,-10.1,-12.33,875635.0,0.0,-4.0,-0.9,-0.14,1.28
-12.0,-31.0,-15.54,0.0,0.73,0.0,0.03,0.12,1.3
-0.16,20.43,0.0,-106.66,-139.24,36.0,-0.25,-0.03,1.31
53.11,383.85,0.0,-15.94,39.12,-3.24,-0.05,0.59,0.75
-9.83,-36.59,10.98,-166.19,-124.14,59.0,0.28,0.3,0.84
15.4,-54.52,-33.14,48.95,197.24,-44.9,-0.1,-0.07,1.27
-11.6,-1.71,-19.8,131.25,6.05,-18.24,0.24,0.15,1.08
-4.74,-0.19,13.97,23.95,12.44,-13.39,0.25,0.67,0.51
-3.47,2.89,20.82,-37.71,0.08,23.02,0.24,0.07,1.12
12.4,-19.87,-17.64,83.33,-11.31,-26.6,-0.12,0.54,0.66
-6.96,-21.47,3.89,-7.02,89.51,3.54,0.13,0.57,0.46
-6.33,-22.85,42.04,-93.58,15.21,20.9,-0.11,0.38,0.47
0.92,0.53,40.12,86.88,40.98,-36.89,0.28,0.54,0.81
5.39,5.5,16.83,134.64,-37.71,11.2,-0.02,0.38,1.25
-9.59,-10.42,0.4,-2.93,57.55,13.59,0.1,0.4,0.53
2.91,-19.86,34.17,109.57,14.0,-18.7,0.89,0.17,1.22
3.53,-5.36,34.07,38.93,69.92,-13.78,0.27,0.72,0.71
10.31,-34.95,6.15,155.84,-9.93,-2.37,0.33,0.32,0.72
-5.7,0.94,-12.58,-107.09,-35.19,33.0,-0.05,0.65,0.54
