yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-4.9,-24.11,-68.79,59.18,-48.24,-99.1,0.36,-1.05,0.22
-41.0,-22.09,-61.2,23.09,13.66,-158.1,0.83,-0.38,0.33
-35.0,-11.34,-54.28,17.85,48.68,-137.4,1.14,0.02,0.78
-34.58,9.31,-46.18,19.65,86.58,-132.9,0.68,0.51,0.81
0.87,-3.34,-83.91,-162.38,-55.4,3.3,-0.29,0.19,0.31
12.18,33.18,-76.09,19.02,144.79,46.85,-0.15,-0.17,1.35
-4.96,14.84,-23.29,197.22,-68.05,-19.0,0.06,0.43,1.31
-23.7,35.04,-38.53,-74.5,84.57,-91.6,0.1,0.79,0.47
10.42,0.49,-78.35,-173.45,-135.07,40.0,-0.08,0.25,0.21
13.77,1.89,-36.45,158.02,6.13,53.18,0.05,-0.26,1.14
16.0,-38.53,-52.76,215.77,-124.98,-6.0,0.14,0.85,0.79
7.9,-36.24,-20.1,124.63,3.2,30.49,0.03,-0.24,1.22
-8.23,-73.56,23.63,168.63,-153.13,-31.0,0.31,0.47,1.18
-24.77,-36.97,5.72,11.5,250.13,-16.9,7456.0,0.0,-31.0
-4.4,30.68,-35.65,72.92,34.82,-77.5,0.32,0.67,0.97
-20.15,4.02,22.53,-166.77,21.63,-6.1,0.14,0.43,0.86
-1.58,8.91,-18.78,78.81,65.38,19.05,0.29,0.21,0.99
-7.38,-13.59,18.58,192.04,-0.3,-28.4,0.44,0.34,1.22
8.47,5.56,-31.99,-78.5,60.18,-9.17,0.29,0.53,0.72
4.64,39.06,17.25,-135.39,18.76,32.6,-0.21,0.44,1.25
10.87,12.44,-26.26,-138.8,-4.27,1.5,0.2,0.74,0.83
-8.5,-2.19,21.66,-117.03,-101.6,41.0,-0.16,0.29,0.5
21.2,-15.82,-15.14,-122.61,-138.89,24.0,-0.11,0.47,1.1
-5.91,-45.48,39.46,82.99,-53.57,81.73,0.09,-0.01,0.53
-19.8,-22.18,11.05,212.55,-118.83,-22.0,-0.26,0.23,1.23
8.79,-43.45,-33.61,-115.15,89.02,-76.0,0.38,0.57,0.97
-23.5,-58.31,24.51,187.32,-183.21,24.0,0.34,0.81,0.65
5.75,-74.19,-47.37,73.87,69.14,52.75,0.23,0.52,0.89
13.6,-53.7,-27.26,164.87,-145.29,-26.0,0.19,0.68,0.81
-6.77,-88.32,16.16,-126.31,-2.08,-6.1,-0.25,0.24,0.42
