yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.7,-19.1,-12.04,32.33,176.72,-232.0,1.38,-0.27,0.29
-64.29,-1.12,14.67,85.66,59.37,-207.3,1.14,0.42,1.29
16.51,-10.65,13.37,-7.92,-35.49,53.26,0.07,0.61,0.83
68.09,20.13,-20.57,-111.49,99.65,220.0,0.22,-0.33,1.37
76.9,6.86,-27.82,-22.85,-46.98,248.0,-0.17,-0.74,0.96
29.81,2.37,-16.3,30.58,-14.61,96.16,0.28,0.31,0.51
-25.78,4.65,-31.26,-53.92,3.89,-83.43,-0.03,0.08,0.96
-61.0,-14.11,-36.24,-19.62,-65.89,-200.0,0.09,-0.31,1.13
-77.94,-6.81,-5.64,99.18,22.85,-251.4,0.85,-0.41,1.38
13.2,-12.69,-18.19,-44.07,-32.39,42.8,-0.45,0.03,0.28
72.1,-14.89,-49.4,-107.11,-12.6,233.0,0.07,-0.21,1.32
76.9,14.99,-74.98,-90.29,92.79,248.8,-0.33,-0.53,1.12
46.25,12.02,-64.43,24.82,-12.92,149.1,-0.11,-0.01,0.75
-33.5,11.63,-76.31,-51.81,-3.28,-108.0,0.03,0.22,0.62
-62.2,-5.8,-87.51,-44.63,-60.29,-201.0,0.14,-0.71,1.21
-77.9,-4.69,-73.66,36.18,3.2,-251.41,0.87,-0.45,1.39
-44.9,10.14,-57.9,40.08,45.35,-145.3,-0.01,0.24,0.71
64.1,-10.41,-85.06,-102.48,-70.35,206.0,0.16,0.35,0.92
66.42,9.18,-105.99,-78.75,62.59,214.9,0.3,-0.62,1.06
59.06,4.67,-95.51,24.98,-18.83,190.5,-0.19,-0.79,1.12
39.73,13.77,-75.84,50.47,28.53,128.58,0.08,0.18,0.56
-44.6,10.23,-84.37,-40.69,-12.91,-144.0,0.1,0.12,0.77
-63.0,-18.06,-90.72,-30.98,-97.02,-204.0,0.14,-0.4,1.21
-77.9,-2.51,-78.52,29.23,49.97,-251.4,0.6,-0.17,1.03
-16.7,-1.92,-67.63,26.39,-9.08,-54.22,-0.3,-0.05,0.24
61.29,-7.28,-84.66,-68.53,-19.34,197.0,0.38,0.21,0.97
72.6,22.56,-103.09,-70.94,96.73,234.9,0.21,-0.64,1.4
74.0,30.36,-114.35,-49.35,21.98,238.8,-0.47,-0.42,0.91
-16.0,18.17,-108.91,-4.99,-38.79,-54.8,0.15,0.46,0.3
-61.7,8.36,-127.27,-73.45,-34.18,-199.0,0.03,-0.53,1.07
-77.0,23.28,-105.23,60.37,49.88,-251.4,0.53,-0.83,1.33
