yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.28,7.39,-67.05,10.18,-56.12,-94.3,0.31,-0.98,-0.05
-4.64,29.11,-63.9,9.92,71.81,-14.96,0.27,-1.12,0.39
47.77,47.85,-1.48,210.34,63.67,154.1,0.11,-1.16,0.33
47.29,56.07,16.18,55.88,32.34,153.04,0.15,0.2,0.5
-37.17,60.32,-6.18,-74.92,17.71,-120.0,-0.03,0.12,0.88
-76.7,67.33,-21.51,-47.24,27.28,-248.0,-0.1,-0.85,0.88
-67.13,72.65,-2.0,66.63,25.99,-215.8,0.6,-0.92,1.11
-54.05,96.09,24.01,85.31,86.32,-174.9,0.14,0.15,0.75
26.49,91.2,4.39,-67.72,-9.22,85.72,-0.21,0.45,0.74
57.75,76.21,-25.42,-98.15,-41.28,186.0,0.1,-0.28,1.02
59.25,82.14,-46.91,-71.25,25.25,191.1,-0.17,-0.79,1.02
55.43,78.66,-43.13,8.32,-8.22,179.39,-0.45,-0.32,0.81
7.51,78.12,-35.02,15.45,7.44,24.3,0.22,0.44,0.47
-62.6,76.14,-47.69,-45.68,-1.24,-202.0,-0.13,-0.24,0.8
-76.4,74.9,-26.72,68.74,2.87,-247.45,0.15,-1.05,1.34
-71.97,85.88,5.77,106.03,45.4,-232.0,0.33,-0.16,1.07
16.83,80.72,-5.45,-41.43,-12.97,54.4,-0.24,0.27,0.46
58.94,53.99,-55.72,-168.05,-81.89,190.0,0.13,-0.31,1.02
57.11,73.67,-69.87,-49.92,67.37,184.2,-0.4,-0.99,0.99
67.05,61.64,-76.94,-30.35,-38.9,216.0,-0.58,-0.48,0.77
-11.7,57.21,-76.73,-16.32,-7.07,-38.0,0.29,0.47,0.38
-71.6,55.2,-75.63,-3.76,-4.55,-230.2,-0.23,-0.48,0.94
-76.3,45.29,-53.04,70.57,-29.08,-246.0,0.17,-1.04,1.27
-55.3,64.4,-17.94,109.94,66.77,-179.0,0.02,0.07,0.91
9.0,60.08,-24.1,-25.88,-14.08,29.0,-0.33,0.16,0.49
61.56,62.38,-66.54,-145.09,12.77,198.0,0.12,-0.19,1.05
76.9,63.33,-98.24,-110.27,5.82,248.8,-0.38,-1.1,0.99
-13.5,49.55,-95.92,-3.37,-46.31,181.0,-0.54,-0.34,0.78
-52.0,61.48,-107.29,-20.43,5.67,-43.96,0.24,0.55,0.39
-77.2,60.08,-81.19,-47.98,41.11,-169.0,-0.23,-0.47,0.86
-70.4,66.07,-40.52,77.95,0.15,-249.17,0.09,-1.04,1.25
29.95,62.69,-62.14,126.74,25.49,-228.0,0.12,-0.14,0.88
54.0,78.41,-100.14,-83.14,-8.95,96.93,-0.28,0.44,0.69
63.3,76.2,-133.2,-134.29,58.97,173.0,0.25,-0.28,1.04
57.1,68.96,-135.89,-119.31,-4.05,204.0,-0.69,-1.22,0.93
-25.0,63.86,-132.44,-24.7,-21.53,184.0,-0.33,-0.27,0.59
-77.0,47.09,-127.88,-10.47,-11.42,-83.0,0.03,0.27,0.63
-75.0,47.44,-102.8,2.28,-52.68,-248.5,-0.15,-0.75,0.87
-55.9,66.79,-74.69,71.13,5.88,-242.15,0.48,-0.96,1.29
50.9,76.58,-101.34,78.97,68.79,-180.9,0.11,0.13,0.8
60.4,75.72,-144.5,-103.31,36.33,164.0,-0.18,0.32,0.74
60.9,65.19,-144.38,-155.43,4.02,195.1,0.08,-0.62,1.12
53.5,53.51,-140.62,-13.39,-31.69,196.0,-0.43,-0.94,0.77
-37.0,55.77,-144.81,-6.57,-35.98,173.4,-0.17,-0.1,0.83
-72.0,47.46,-139.96,-37.47,12.57,-120.0,0.13,0.29,0.53
-77.0,35.5,-112.94,1.11,-25.92,-232.5,-0.31,-0.85,1.1
-52.9,46.52,-88.06,75.33,-34.84,-251.0,0.56,-0.7,1.19
52.0,50.69,-113.97,65.47,38.75,-170.8,0.1,0.26,0.84
77.1,54.21,-148.86,-102.55,16.96,167.0,0.06,0.3,0.74
59.5,57.31,-143.54,-128.31,15.7,248.0,0.17,-0.83,1.12
34.5,54.38,-132.14,2.38,11.35,192.76,-0.44,-0.85,0.98
-48.0,57.26,-148.33,15.49,-7.33,111.77,-0.1,0.22,0.53
-77.0,57.94,-130.94,-71.34,13.65,-155.0,0.06,-0.13,0.79
-77.9,68.23,-85.91,44.07,5.73,-251.41,-0.08,-1.13,1.11
3.1,66.16,-77.12,136.56,41.35,-251.0,0.45,-0.55,1.02
61.7,69.77,-126.72,11.97,-6.54,10.04,-0.34,0.37,0.28
62.6,82.52,-151.06,-174.35,18.34,199.0,0.18,-0.5,1.06
53.0,74.78,-137.31,-92.84,46.63,202.0,-0.36,-1.23,0.99
-3.5,52.76,-130.06,28.31,-21.12,171.6,-0.26,-0.34,0.79
-77.0,66.55,-142.75,0.27,-63.36,-11.3,0.36,0.4,0.38
-77.0,36.02,-113.94,-54.61,48.58,-251.0,-0.18,-1.03,0.98
-50.8,48.64,-88.86,81.29,-94.65,-251.0,0.64,-0.8,1.22
45.8,53.65,-111.32,64.29,44.26,-164.0,0.1,0.41,0.71
54.4,50.86,-150.42,-94.37,18.86,148.4,-0.08,0.63,0.63
76.7,41.27,-151.21,-141.91,-4.75,175.0,0.2,-0.67,0.96
53.1,41.16,-143.13,-16.73,-31.1,248.0,-0.36,-1.25,0.94
-35.0,45.63,-149.73,7.04,-3.97,171.28,-0.5,-0.09,0.61
-68.0,31.19,-153.81,-45.4,18.43,-114.0,0.16,0.3,0.66
-77.0,27.3,-123.71,84.5,-10.06,-251.0,-0.27,-0.79,1.02
-49.0,42.49,-95.42,74.52,48.36,-158.6,0.52,-0.87,1.13
77.1,53.36,-145.1,-180.27,41.59,248.0,-0.2,0.26,0.49
63.6,40.42,-168.75,-93.05,-40.79,205.0,0.37,-0.02,0.83
68.2,41.27,-162.34,2.7,1.01,220.2,-0.12,-1.07,0.92
18.3,40.56,-151.8,8.27,3.79,59.35,-0.49,-0.63,0.82
-63.0,57.65,-170.42,-80.09,58.14,-205.0,0.37,0.39,0.41
-78.0,67.17,-155.47,32.66,36.55,-251.4,-0.14,-0.5,0.92
-72.0,72.84,-135.14,47.3,28.98,-235.1,0.19,-1.34,1.31
5.34,80.12,-128.61,-0.16,26.09,17.21,0.6,-0.05,0.86
70.2,91.32,-170.24,-155.27,45.98,226.0,-0.37,0.29,0.52
68.3,87.13,-185.62,-68.8,-8.15,221.2,0.21,-0.37,1.05
53.5,85.82,-170.93,26.83,-0.84,173.3,-0.51,-1.23,0.93
-1.0,85.14,-161.04,2.69,8.71,-3.27,-0.53,-0.38,0.77
-60.0,86.99,-170.67,-50.85,11.24,-195.0,0.29,0.54,0.32
-67.0,76.95,-149.26,53.97,-25.44,-218.0,-0.32,-0.46,0.8
-77.0,83.91,-119.23,82.79,33.68,-251.4,0.12,-1.06,1.23
34.1,85.93,-128.27,-53.16,12.17,110.3,0.57,-0.4,0.98
75.6,88.84,-174.94,-168.99,17.02,243.0,-0.21,0.58,0.53
64.2,64.31,-175.45,-19.14,-76.37,207.0,-0.07,-0.83,0.9
53.0,62.97,-163.57,16.62,-3.92,171.04,-0.36,-1.23,0.95
-27.0,62.29,-168.85,-44.12,3.47,-90.01,-0.44,-0.1,0.71
-74.0,45.25,-167.5,-13.6,-54.03,-239.0,0.1,0.3,0.58
-77.0,42.24,-145.74,55.02,-5.57,-251.1,-0.25,-0.84,1.03
-62.0,36.06,-120.17,64.28,-17.18,-200.0,0.47,-0.93,1.17
48.0,64.16,-137.13,-77.37,97.06,155.6,0.19,0.15,0.77
70.9,66.37,-168.02,-117.82,13.66,228.0,0.15,0.36,0.75
62.9,56.02,-161.21,6.12,-31.39,203.81,0.26,-0.74,1.04
48.7,52.8,-146.03,29.1,-6.79,157.78,-0.3,-1.11,0.95
-24.0,40.91,-160.81,-73.71,-35.24,-77.0,0.04,-0.03,0.78
-64.0,31.46,-168.73,-43.41,-31.07,-208.0,0.12,0.29,0.52
-69.0,35.61,-151.62,38.24,18.11,-223.2,-0.17,-0.87,1.0
-70.0,27.39,-140.45,16.98,-21.5,-227.0,0.7,-0.75,1.07
50.2,28.7,-146.88,-46.3,4.59,161.94,0.68,-0.06,0.83
68.3,38.37,-176.28,-114.61,33.64,220.0,0.04,0.51,0.65
45.2,51.73,-173.32,2.11,80.04,196.59,0.19,-0.72,1.05
60.7,76.03,-166.24,8.19,-18.66,-74.25,-0.25,-0.88,0.96
-22.0,68.03,-155.31,-38.63,8.92,-175.9,-0.54,-0.26,0.67
-54.0,69.7,-161.46,42.28,-37.08,-222.0,0.15,0.39,0.42
-69.0,56.7,-143.95,60.18,64.92,-235.5,-0.28,-0.5,0.97
-73.0,73.62,-120.27,-69.29,-36.91,151.0,0.23,-1.07,1.11
46.8,61.8,-134.37,-124.25,4.16,220.8,0.57,-0.09,0.92
68.2,61.49,-167.04,-19.66,-12.71,212.0,-0.28,0.43,0.48
65.9,56.97,-168.02,11.69,-5.85,179.62,0.14,-0.8,1.15
55.5,54.93,-158.34,-37.9,-10.02,-94.0,-0.32,-1.0,0.77
-29.0,50.28,-161.88,15.28,-36.83,-228.0,-0.32,-0.27,0.81
-70.0,38.75,-151.99,66.47,-10.46,-219.0,0.17,0.33,0.53
-68.0,34.99,-127.23,116.57,17.09,-181.0,-0.14,-0.66,1.02
-56.2,39.58,-86.77,-119.23,-6.41,162.0,0.14,-0.68,1.07
50.4,37.49,-117.42,-100.34,23.65,215.0,0.08,0.22,0.82
66.5,44.17,-143.7,-14.83,12.2,195.6,-0.1,0.48,0.76
