yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.28,-21.72,29.13,49.18,132.24,-93.7,0.47,0.43,-0.15
0.56,-26.03,34.95,21.78,-15.03,1.81,0.94,0.18,-0.88
4.55,-42.21,14.63,-69.68,-55.68,14.7,0.61,0.53,-0.24
9.75,-52.93,1.62,-45.49,-36.84,31.5,1.5,0.61,-0.28
33.69,-58.42,-5.71,-24.13,-18.52,108.0,1.24,-0.14,-0.15
-11.0,-43.81,-20.85,-53.88,48.11,-38.1,1.34,0.25,0.08
12.32,-44.83,-9.13,30.28,-6.89,39.88,0.49,0.46,0.06
-32.7,-19.1,16.96,82.96,85.74,-105.4,1.22,0.47,-0.12
-4.9,4.45,55.26,124.47,78.63,-15.8,0.34,0.34,-0.1
-10.94,6.33,30.88,-80.05,8.76,-35.3,0.79,0.69,-0.5
17.47,-13.29,-0.51,-107.25,-62.32,56.0,0.56,0.43,0.15
-6.2,-19.25,-37.76,-130.49,-18.28,-20.0,1.07,0.73,-0.15
37.2,-34.11,-15.88,70.24,-47.18,120.1,0.59,-0.2,-0.12
-27.0,-10.59,-33.13,-61.33,81.76,-89.3,0.97,0.05,-0.14
28.08,-29.65,1.05,105.55,-61.5,90.5,1.01,0.61,-0.07
-44.81,17.05,35.48,112.19,157.24,-144.0,1.23,0.53,-0.42
17.45,6.84,64.92,0.07,56.29,0.0,0.63,0.14,-0.65
-11.9,13.51,34.12,-100.37,25.97,-38.0,0.72,0.55,-0.36
43.51,-14.52,8.8,-85.34,-88.37,140.0,0.91,0.55,0.08
7.54,-18.19,-24.72,-115.81,-9.8,24.3,0.89,0.47,-0.03
20.1,-31.18,-14.5,33.76,-42.77,65.07,0.73,-0.39,-0.38
-27.9,-1.68,-19.21,-18.92,102.05,-90.0,0.77,0.04,0.14
20.72,-22.97,23.64,137.15,-67.94,66.8,1.24,0.67,0.45
-26.2,-2.66,58.97,117.39,69.5,-84.5,0.92,0.51,0.03
10.71,5.29,63.81,21.08,29.69,34.56,1.01,0.39,-0.64
-22.87,3.59,28.69,-113.0,-0.11,-74.0,0.72,0.26,-0.21
23.03,-34.0,3.27,-86.98,-122.6,74.0,1.35,0.9,0.19
16.4,-39.71,-12.56,-55.25,-17.57,52.8,0.81,0.22,-0.06
-14.0,-20.93,-26.75,-49.37,64.3,-45.9,1.19,-0.13,-0.26
-15.1,-13.3,-9.28,51.11,27.69,-48.95,0.77,0.36,-0.02
-34.65,13.97,24.47,109.53,95.87,-112.0,1.59,0.5,-0.21
-4.68,7.21,53.03,93.4,-17.78,-15.0,0.55,0.42,-0.14
-3.82,15.14,42.42,-33.13,29.81,-12.3,1.0,0.68,-0.76
4.54,8.64,7.28,-117.64,-15.99,14.0,0.7,0.43,-0.1
-2.48,13.35,-22.98,-104.91,21.63,-7.9,1.5,0.75,-0.1
15.8,-6.7,-22.86,-3.31,-58.03,50.98,0.85,-0.0,-0.08
-27.58,3.69,-33.69,-39.82,41.37,-89.2,1.1,-0.06,-0.13
6.64,7.4,-16.3,49.44,17.31,21.41,0.64,0.34,0.07
-26.8,28.26,20.01,117.19,77.17,-86.7,1.06,0.34,0.05
0.29,10.88,53.04,108.63,-53.44,0.94,0.39,0.34,-0.37
-14.02,21.37,27.33,-83.27,39.01,-45.2,0.81,0.48,-0.62
31.2,-35.95,10.73,-56.34,-185.61,100.0,0.77,0.37,-0.11
-2.4,-19.77,-12.94,-83.44,52.37,-7.77,0.74,0.57,-0.16
19.97,-26.03,7.44,67.66,-17.02,64.64,0.85,-0.15,-0.07
-22.18,-11.08,6.4,-3.22,53.9,-71.77,1.02,0.01,-0.17
13.41,-14.38,22.67,50.79,-8.51,43.27,0.89,0.52,-0.1
-37.67,9.21,46.85,80.44,82.3,-121.5,0.95,0.42,-0.07
3.79,-6.23,72.27,87.23,-49.76,12.25,0.46,0.39,-0.48
-5.61,-3.87,46.07,-82.89,8.56,-18.09,0.56,0.42,-0.51
42.73,-45.96,36.3,-30.94,-138.49,138.0,1.06,0.56,-0.37
-1.14,-23.94,8.93,-91.71,70.65,-3.68,0.8,0.54,-0.34
17.55,-18.05,13.72,15.56,23.74,56.8,0.66,0.1,0.01
-18.2,-17.66,12.26,-4.21,5.96,-59.1,0.95,0.06,-0.13
4.77,-25.7,37.57,83.92,-24.44,15.44,1.2,0.4,-0.35
-43.59,3.1,62.42,84.82,98.34,-140.1,0.85,0.33,-0.07
7.94,-13.61,71.81,38.49,-57.6,25.69,0.39,0.17,-1.31
4.76,-4.7,41.46,-97.16,30.88,15.39,0.67,0.43,-0.41
27.05,-16.45,29.12,-41.18,-36.57,87.2,1.02,0.7,-0.07
11.07,-6.78,-1.73,-103.99,34.66,35.7,0.95,0.49,-0.18
-3.15,-38.07,-8.93,-23.28,-102.8,-10.0,1.22,-0.36,-0.76
-17.0,-26.48,-2.15,18.66,39.04,-54.99,0.81,0.25,-0.22
9.5,-38.71,24.07,83.05,-41.24,30.74,1.04,0.68,-0.23
-27.8,-25.15,52.86,95.04,44.24,-89.59,0.81,0.47,-0.16
6.33,-28.66,57.17,19.38,-15.69,20.49,0.45,0.22,-0.93
13.83,-33.52,30.66,-85.43,-17.15,44.6,0.69,0.38,-0.4
16.36,-27.22,2.19,-95.73,19.76,52.94,1.36,0.71,-0.84
21.8,-32.41,-12.17,-50.06,-14.72,70.6,0.72,0.14,-0.1
-10.0,-34.25,-16.76,-17.52,-3.74,-33.9,1.29,-0.04,-0.24
-17.7,-15.24,-7.92,26.06,65.98,-57.51,0.67,0.07,-0.14
-22.81,-5.04,27.45,115.05,38.21,-73.5,1.39,0.39,-0.15
-15.93,-1.31,52.68,82.52,13.24,-51.4,0.49,0.49,-0.35
0.71,9.29,36.06,-53.74,36.35,2.3,0.69,0.63,-0.73
30.18,0.82,5.35,-103.75,-23.59,97.0,0.65,0.42,-0.09
-11.8,24.19,-18.62,-83.78,83.48,-38.4,1.21,0.52,-0.33
25.5,31.35,2.73,70.69,31.34,82.25,0.89,-0.28,-0.46
-17.61,42.35,-2.36,-18.72,47.66,-56.8,0.92,0.16,-0.13
16.43,39.65,21.16,73.56,-0.11,53.18,0.8,0.57,-0.18
-34.35,62.44,49.98,96.57,87.59,-110.8,1.05,0.35,0.08
3.58,54.14,68.79,67.95,-17.53,11.55,0.78,0.19,-0.8
0.62,54.45,39.73,-93.82,10.01,2.0,0.64,0.53,-0.49
36.87,31.48,22.88,-55.3,-65.11,119.0,1.09,0.48,0.1
6.77,26.75,5.07,-59.76,-5.89,21.84,0.9,0.28,-0.09
9.68,22.75,8.43,14.08,-5.91,31.31,1.2,-0.49,-0.57
-24.12,30.24,3.93,-14.29,35.48,-77.8,0.85,-0.04,-0.1
-3.88,25.28,25.75,69.98,-11.08,-12.5,0.96,0.64,-0.93
-33.5,46.79,51.35,84.87,78.12,-108.0,0.68,0.45,-0.43
5.21,35.44,58.33,27.95,-31.5,16.8,0.52,0.23,-0.82
-7.4,47.49,24.59,-109.34,46.46,-23.0,1.66,0.51,0.04
44.23,13.36,8.01,-55.39,-102.4,142.0,1.21,0.26,-0.17
18.45,27.41,-9.44,-59.8,55.31,59.52,1.02,-0.34,-0.28
-16.7,44.44,-24.0,-48.58,66.24,-54.3,0.86,0.2,-0.16
-22.4,61.47,-12.34,33.58,69.19,-72.27,1.44,0.63,-0.25
-14.49,51.28,14.8,86.01,-21.23,-46.9,1.04,0.42,-0.36
-16.31,60.72,41.05,86.48,42.95,-52.43,0.64,0.48,-0.81
2.12,67.76,31.21,-31.68,32.68,6.85,0.7,0.36,-0.23
8.49,66.18,2.62,-96.36,7.8,27.46,1.34,0.62,-0.34
10.81,59.7,-23.17,-90.5,-8.41,35.0,0.63,-0.13,-0.46
16.44,25.17,-18.87,11.98,-104.77,53.0,1.08,-0.16,-0.39
-15.5,31.17,-31.56,-44.74,28.88,-50.1,0.72,0.33,-0.23
-6.36,36.35,-18.01,37.57,25.96,-20.57,1.28,0.4,-0.07
-23.31,39.47,11.65,94.28,21.24,-75.21,0.55,0.46,-0.3
-2.53,37.89,34.31,72.18,2.19,-8.16,0.7,0.53,-0.7
-5.79,45.11,10.79,-79.12,30.78,-18.7,0.75,0.51,-0.03
23.11,36.34,-16.91,-96.85,-19.76,74.5,0.89,0.6,-0.22
0.43,29.59,-41.66,-90.85,-14.41,1.4,0.76,-0.07,-0.26
25.1,32.81,-17.34,76.13,20.41,80.97,1.05,0.01,-0.24
-25.7,40.37,-27.87,-38.44,36.32,-82.9,0.86,0.5,-0.07
1.79,42.94,0.4,86.86,18.25,5.79,0.87,0.4,-0.24
-12.36,33.71,79.18,127.87,57.14,-94.8,0.66,0.17,-0.71
3.91,44.22,48.08,136.25,-68.14,-39.0,0.69,0.5,-0.7
35.7,29.1,25.02,-98.44,41.28,12.65,0.99,0.44,0.16
4.31,39.94,-4.77,-75.15,-40.21,115.0,1.01,0.42,-0.27
10.09,11.29,-1.96,-100.32,45.01,13.8,1.04,-0.67,-0.3
-27.08,20.18,1.7,12.41,-87.41,32.55,0.97,0.17,-0.11
17.96,-8.31,38.02,10.07,38.16,-87.64,1.03,0.75,0.08
-14.23,7.78,67.28,116.82,-89.62,57.9,1.13,0.34,-0.27
-4.98,13.31,59.1,100.94,58.53,-46.0,1.01,0.46,-0.6
6.6,-4.15,27.31,-21.98,22.9,-16.0,0.52,0.39,-0.08
14.53,4.97,4.13,-104.5,-53.73,21.0,1.05,0.66,-0.25
18.1,16.54,-0.84,-79.37,33.88,47.04,0.83,0.08,-0.11
-12.43,23.46,-8.06,-17.51,46.54,58.38,1.41,-0.03,-0.14
-12.7,32.82,5.0,-24.95,33.02,-40.2,0.59,0.15,-0.04
-8.18,29.96,44.31,40.3,40.92,-40.96,1.32,0.5,-0.02
-3.92,35.75,66.83,129.73,0.22,-26.48,0.68,0.41,-0.3
-7.22,37.53,54.77,76.8,26.66,-12.59,1.03,0.41,-0.67
6.6,17.73,14.97,-34.76,14.08,-23.3,0.46,0.36,-0.05
-9.05,30.55,-16.76,-132.48,-58.57,21.0,1.13,0.67,-0.02
24.04,32.21,-4.56,-109.4,49.57,-29.0,0.66,-0.06,-0.04
-17.8,30.4,-11.75,38.75,17.09,77.54,1.39,-0.01,-0.03
-3.11,40.26,-0.54,-25.46,6.36,-57.73,0.86,0.3,-0.03
-27.59,59.44,34.93,32.88,42.83,-10.02,1.27,0.26,0.06
4.88,32.01,59.96,117.31,76.76,-89.2,0.5,0.21,-0.4
-12.1,37.26,30.8,85.4,-81.32,15.68,0.8,0.36,-0.45
17.03,26.8,-1.04,-93.78,25.45,-39.1,0.88,0.47,0.22
-5.45,28.45,-31.15,-107.5,-26.08,55.0,0.58,-0.36,-0.0
35.8,20.62,-21.27,-105.86,13.47,-17.0,1.07,-0.18,0.04
-28.1,26.28,-29.45,32.64,-18.55,115.4,0.79,0.56,-0.1
13.8,-23.5,-1.04,-29.76,28.75,-90.6,1.16,0.29,-0.03
-31.22,1.19,40.74,86.43,-160.86,44.6,0.53,0.31,-0.54
14.56,14.85,69.18,137.67,86.11,-100.0,0.83,0.51,-0.74
-9.2,27.61,38.03,97.41,47.58,46.98,1.08,0.58,-0.19
35.94,0.4,21.62,-99.62,46.93,-29.7,0.97,0.44,-0.26
4.51,19.6,-7.57,-54.47,-83.47,115.0,0.93,-0.44,-0.11
13.43,20.81,-13.53,-99.31,69.34,14.61,0.84,0.2,0.1
-18.47,23.88,-3.22,-18.3,11.41,43.33,1.53,0.58,0.26
18.3,2.26,26.23,30.49,19.42,-59.76,0.56,0.49,0.08
-17.8,-10.59,59.18,95.1,-64.27,59.02,1.05,0.27,-0.72
4.72,0.67,60.61,108.42,-40.39,-57.0,0.63,0.23,-0.21
-14.42,10.39,25.74,10.45,39.63,15.17,1.21,0.75,0.24
18.84,0.43,-3.17,-112.64,37.56,-46.0,0.58,0.16,-0.05
22.96,-2.66,-8.15,-98.83,-28.36,60.9,1.34,-0.34,0.01
-18.3,-1.75,-18.41,-19.95,-4.28,74.32,0.52,0.27,-0.15
-23.43,-36.84,2.8,-34.23,9.01,-59.12,1.41,0.81,-0.32
-22.1,-18.77,29.13,64.72,-114.48,-75.0,0.73,0.33,-0.49
0.27,-16.86,44.97,84.55,59.93,-71.66,0.85,0.5,-0.93
0.54,-1.33,33.73,53.66,6.85,0.87,0.58,0.27,-0.24
8.85,-3.47,16.55,-35.31,51.25,1.75,1.12,0.67,-0.62
-6.27,16.89,-18.79,-57.17,-3.44,28.65,0.6,0.07,0.1
23.59,12.05,-18.15,-121.27,71.1,-20.0,1.3,-0.23,0.06
-18.8,13.07,-25.64,-1.85,-7.25,75.86,0.7,0.29,-0.04
-2.98,33.35,-5.07,-26.98,11.92,-61.0,1.14,0.37,0.25
-30.6,55.08,30.57,62.21,75.3,-9.65,0.35,0.21,-0.37
5.94,39.65,61.8,116.06,82.87,-98.7,0.91,0.47,-0.75
-8.91,58.66,36.84,105.39,-43.05,19.1,0.51,0.59,0.18
9.2,40.24,12.13,-79.37,71.72,-28.8,1.01,0.5,-0.17
0.58,62.46,-26.68,-85.1,-52.55,29.6,0.29,-0.5,-0.41
22.13,46.09,-15.37,-133.32,84.88,1.88,0.78,-0.21,-0.1
-32.7,62.52,-22.82,39.79,-47.28,71.39,0.82,0.64,0.04
25.67,58.17,7.32,-25.69,67.39,-105.0,0.94,0.28,0.08
-30.74,76.0,39.88,92.72,-3.16,83.07,0.61,0.11,-0.85
19.95,70.12,66.86,107.86,73.89,-99.5,0.68,0.28,-0.42
-15.44,79.1,37.62,94.21,-8.62,64.15,1.35,0.88,0.43
29.08,53.9,20.69,-92.82,43.04,-49.9,0.53,0.44,-0.01
