yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.0,-25.49,27.05,-1.71,13.53,0.07,0.83,0.34,-0.42
-2.77,-20.64,30.79,13.54,17.01,-8.94,1.04,0.31,-0.52
1.53,-7.28,70.84,134.28,44.13,4.93,0.42,0.28,-0.33
-3.88,2.33,52.69,-56.07,34.42,-12.5,1.16,0.7,-0.63
2.49,0.13,19.11,-108.11,-1.6,8.07,0.59,0.11,-0.19
4.21,16.12,-22.59,-142.9,56.42,13.5,1.29,0.99,-0.57
27.36,14.39,-12.76,32.38,-1.58,88.25,0.45,-0.25,-0.39
-16.3,24.75,-26.71,68.6,34.08,-7.01,1.08,-0.03,-0.14
0.0,-52.75,1.0,94.11,115.53,-121.0,0.63,0.24,0.04
-2.17,32.3,-4.2,130.79,-68.34,56.1,1.31,0.47,-0.04
-37.54,63.74,24.96,-130.08,40.21,-34.0,0.6,0.03,-0.67
17.33,40.41,63.03,-62.2,-108.75,78.0,0.71,0.43,-0.59
-10.57,50.14,22.99,-101.03,-0.52,36.2,1.3,0.3,0.36
24.25,14.22,4.31,28.61,-42.03,66.85,0.88,0.7,-0.3
11.24,12.67,-24.26,-19.88,86.05,-98.6,0.84,-0.34,-0.03
20.72,-1.91,-15.46,153.95,-83.7,118.0,0.79,0.03,-0.12
-30.4,21.59,-20.47,85.74,46.3,-65.67,0.99,0.62,-0.01
36.79,-5.33,27.65,15.83,16.38,59.86,0.76,0.52,0.2
-20.36,7.66,53.59,-130.47,32.09,-54.0,0.71,0.19,-0.8
18.5,11.72,56.74,15.36,-105.34,50.3,0.44,0.29,-0.23
-16.84,19.96,17.04,-88.77,13.44,111.9,1.48,0.93,-0.23
15.57,-13.22,22.39,6.74,-45.03,9.75,0.87,0.62,0.01
34.82,-9.71,-3.41,-40.39,93.67,-59.5,0.79,-0.35,-0.16
3.01,-24.08,-2.03,173.61,-112.74,57.0,0.83,-0.09,-0.07
-18.39,2.54,-13.99,105.31,21.08,-52.6,1.19,0.8,0.01
17.93,-32.31,39.96,-26.36,-8.28,-21.1,0.74,0.54,0.14
-16.2,-25.74,71.21,-62.01,-105.28,32.0,1.23,0.39,-0.71
-6.57,-28.28,61.33,-114.48,-1.72,43.7,0.28,0.11,-0.5
9.97,-58.37,41.1,-57.64,23.62,45.01,1.06,0.8,-0.28
13.6,-57.45,6.91,-81.72,51.27,-69.9,0.54,0.3,-0.24
13.91,-49.18,-9.19,133.98,-48.56,21.0,1.13,-0.37,0.17
-21.0,-33.64,-33.59,69.33,125.84,-137.0,0.95,0.33,0.06
6.52,-48.41,8.59,90.98,4.83,-9.43,1.42,0.21,-0.36
-42.6,-10.81,29.39,-85.47,23.98,-36.8,0.31,0.26,-0.31
-2.92,-9.32,56.7,-100.74,-80.34,58.0,1.0,0.62,-0.66
-11.39,-2.58,30.37,-111.34,60.4,-42.0,0.78,0.58,-0.01
18.09,-27.29,0.93,69.87,18.37,89.18,1.09,0.74,-0.05
-13.2,-9.25,-30.79,-43.38,38.53,-57.9,0.6,-0.25,-0.32
27.56,-4.51,-9.46,91.74,27.3,-15.4,1.09,-0.26,-0.08
-17.9,5.21,-22.29,94.36,98.66,-110.1,0.56,0.33,-0.04
-4.77,11.89,7.3,97.79,-95.12,54.23,1.36,0.44,0.23
-34.14,39.13,35.99,-83.45,24.36,-62.0,0.75,0.07,-0.46
16.81,8.09,64.01,-68.59,-85.02,51.9,0.99,0.38,-0.58
-19.18,13.93,37.62,-120.45,7.67,-2.54,0.81,0.5,0.32
16.05,-12.83,17.17,25.75,-3.28,101.79,1.07,0.64,-0.1
-0.7,-11.22,-18.05,-26.68,41.69,-75.7,0.65,-0.4,-0.3
31.4,-12.69,-10.66,126.33,-31.08,49.2,1.12,-0.17,0.02
-23.4,-1.89,-18.32,99.49,83.91,-122.1,1.23,0.51,0.38
15.21,-12.38,20.96,16.18,-58.76,1.32,0.98,0.44,-0.04
-37.88,11.61,50.89,-98.08,-0.48,-6.79,0.91,0.38,-0.79
0.41,-7.03,54.56,-89.64,-22.14,64.6,0.5,0.4,-0.08
-2.1,-7.75,25.03,-23.21,-102.04,102.0,1.98,0.82,-0.35
19.98,-15.49,-1.49,-49.52,-32.08,-24.0,0.62,0.13,-0.23
31.9,-46.84,-7.71,22.78,80.77,-63.87,1.25,-0.38,0.13
-7.6,-56.22,-22.57,94.11,-8.64,-5.0,0.82,0.19,-0.03
