yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.11,7.68,-62.38,-1.4,8.28,-35.06,0.34,-0.78,0.15
9.73,23.69,-65.6,-10.9,53.51,31.37,0.37,-1.06,0.26
-25.1,37.35,-14.73,170.69,47.17,-81.4,0.37,-1.41,0.56
-6.56,49.45,14.88,98.46,42.52,-21.15,0.06,-0.13,0.61
-7.53,43.71,23.16,26.25,-17.01,-24.3,-0.04,0.29,0.7
-1.07,38.77,6.28,-54.56,-14.39,-3.4,0.02,0.05,0.85
3.67,30.43,-24.88,-101.47,-25.25,11.0,0.23,-0.49,1.02
2.36,28.91,-40.45,-51.39,-3.13,7.64,0.26,-0.71,0.87
-5.79,28.25,-28.53,39.66,-0.41,-18.69,0.33,-0.94,0.98
-6.97,53.63,6.64,117.84,87.02,-22.4,0.2,-0.45,0.72
-8.14,51.37,23.94,56.38,-4.3,-26.34,-0.0,0.2,0.7
3.99,47.11,13.39,-34.51,-11.57,12.9,-0.03,0.18,0.89
5.67,34.52,-17.74,-100.88,-38.37,18.0,0.2,-0.35,0.98
2.61,28.51,-36.38,-61.39,-16.69,8.42,0.43,-0.65,0.95
-3.69,38.18,-14.33,73.92,34.27,-11.93,0.33,-0.92,1.12
-5.34,53.16,17.77,106.68,53.66,-17.2,0.18,-0.1,0.73
-7.77,46.31,31.77,46.86,-19.5,-24.9,0.02,0.17,0.72
6.5,41.55,4.88,-89.05,-12.35,21.0,0.14,0.22,0.8
5.27,31.59,-27.66,-106.12,-30.47,17.0,0.21,-0.52,1.01
3.27,14.09,-43.64,-53.18,-56.85,10.5,0.28,-0.77,0.96
-19.98,23.71,-1.44,140.69,33.51,-64.2,0.65,-1.09,0.94
-10.58,41.19,25.07,88.39,61.3,-34.25,0.28,0.01,0.67
-2.97,35.2,24.83,-2.89,-16.77,-9.6,0.14,0.36,0.49
5.91,31.69,-12.01,-120.25,-9.44,19.1,0.19,-0.16,0.94
7.08,20.55,-38.62,-86.4,-35.34,22.7,0.23,-0.67,0.86
-7.79,21.51,-35.14,11.06,4.28,-25.22,0.44,-1.02,1.19
-10.59,39.79,10.44,152.58,63.24,-34.2,0.32,-0.51,0.75
-5.32,39.22,27.16,53.02,0.27,-17.15,0.07,0.35,0.62
5.34,37.3,3.51,-78.64,-4.81,17.21,0.03,0.22,0.75
8.61,33.58,-35.08,-126.5,-10.02,27.0,0.21,-0.57,1.05
4.49,35.56,-56.38,-71.65,8.58,14.54,0.22,-0.88,0.98
-11.3,36.84,-13.88,141.44,8.04,-36.66,0.47,-0.98,0.76
-10.56,54.43,16.86,100.63,62.01,-33.9,0.17,-0.02,0.62
6.58,55.77,5.14,-42.24,8.05,21.3,0.01,0.39,0.62
14.27,48.34,-46.12,-169.81,-19.58,46.0,0.27,-0.44,1.05
3.8,41.87,-65.13,-65.11,-16.98,12.2,0.34,-0.83,0.86
-14.3,51.49,-29.54,116.21,36.24,-46.2,0.43,-1.08,1.0
-11.7,68.39,9.17,128.46,62.39,-37.8,0.21,-0.23,0.62
-2.04,69.41,13.15,8.37,10.53,-6.58,0.15,0.44,0.47
7.98,55.58,-23.92,-122.89,-39.31,25.0,0.22,-0.11,0.88
9.24,39.42,-51.01,-89.68,-48.4,29.8,0.33,-0.71,0.82
0.63,34.45,-55.94,-18.27,-13.07,2.04,0.4,-0.96,0.93
-15.27,56.19,-6.71,162.87,76.87,-49.2,0.44,-0.76,0.72
-5.95,65.39,22.14,95.58,34.68,-19.25,-0.0,0.01,0.57
5.35,51.12,2.44,-66.64,-40.73,17.2,0.28,0.34,0.84
11.75,33.29,-38.2,-133.69,-54.66,38.0,0.36,-0.53,0.97
5.35,15.05,-66.32,-93.49,-57.37,17.2,0.52,-0.96,0.6
-13.2,25.4,-31.37,115.08,35.98,-43.0,0.56,-1.18,0.77
-13.76,50.51,10.06,136.97,86.07,-44.2,0.24,-0.3,0.67
-1.78,50.54,21.18,33.34,4.66,-5.77,0.13,0.37,0.49
10.52,46.96,-10.59,-105.98,-8.9,34.0,0.02,0.12,0.86
10.68,37.68,-49.88,-129.91,-27.16,34.0,0.27,-0.7,0.99
2.47,36.79,-64.8,-51.6,0.88,7.93,0.45,-0.89,0.85
-15.2,49.11,-18.5,153.19,46.18,-49.2,0.61,-1.01,0.67
-9.79,61.85,13.91,106.63,46.66,-31.6,0.08,-0.04,0.68
-1.56,53.41,13.71,-5.26,-23.67,-5.03,0.02,0.48,0.51
16.89,43.35,-36.35,-165.05,-28.45,54.0,0.23,-0.22,0.82
9.37,32.36,-63.53,-91.2,-33.42,30.3,0.25,-0.83,0.8
-3.83,34.37,-52.81,33.87,8.45,-12.35,0.22,-1.12,0.83
-17.75,37.69,-5.73,156.47,14.28,-57.2,0.28,-0.65,0.59
-16.88,35.41,20.59,82.88,-6.02,-54.63,0.03,0.29,0.46
16.75,32.28,-7.86,-95.1,-6.37,54.04,0.37,0.19,0.79
15.79,32.0,-47.45,-130.51,1.73,51.11,0.35,-0.71,0.97
5.91,36.75,-60.59,-45.6,18.67,19.06,0.37,-0.84,0.86
-14.9,41.76,-17.15,144.41,20.58,-48.2,0.44,-1.0,0.71
