yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.08,17.11,-57.02,53.98,-6.91,-26.52,0.24,-0.82,0.15
4.95,16.57,-55.11,3.47,-0.27,16.03,0.81,-1.32,1.37
-9.49,34.33,-16.64,126.59,60.46,-30.7,0.22,-0.47,0.58
-6.37,41.11,0.3,50.96,24.32,-20.48,0.08,0.26,0.66
-5.3,49.79,-6.55,-27.33,30.63,-17.1,-0.03,0.36,0.7
2.36,42.19,-37.75,-106.82,-21.41,7.6,0.18,0.01,0.99
1.95,35.18,-71.6,-115.81,-19.33,6.3,0.35,-0.56,0.9
11.49,21.95,-92.68,-73.15,-40.83,36.9,0.36,-0.9,0.45
-22.0,27.1,-45.05,155.24,19.06,-71.3,0.49,-1.25,0.61
-18.36,45.51,-7.16,123.76,64.01,-59.2,0.19,-0.25,0.55
-5.97,54.73,5.89,38.37,34.05,-19.33,0.07,0.36,0.63
6.48,48.9,-22.95,-98.16,-15.74,20.9,0.04,0.14,0.76
7.88,37.21,-60.63,-126.76,-34.33,25.0,0.34,-0.56,0.92
10.69,28.41,-79.34,-64.92,-25.86,34.4,0.38,-0.9,0.64
-17.3,37.57,-37.78,135.28,34.01,-56.0,0.58,-1.08,0.76
-13.04,51.32,-7.83,95.66,49.5,-41.93,0.21,-0.1,0.68
-2.03,55.49,2.29,27.19,19.41,-6.56,0.18,0.38,0.44
9.5,50.22,-40.81,-143.47,-12.63,30.0,0.22,-0.32,1.08
6.75,44.55,-66.33,-87.1,-14.54,21.8,0.25,-0.71,0.88
-5.02,27.27,-52.02,44.58,-53.5,-16.1,0.42,-1.04,0.91
-9.32,46.55,-12.52,130.05,67.88,-30.1,0.38,-0.54,0.7
-7.24,43.81,8.04,64.02,-5.84,-23.44,0.08,0.24,0.6
6.2,40.98,-10.53,-65.16,-5.79,19.99,0.18,0.32,0.71
11.0,28.24,-53.97,-143.98,-38.73,35.0,0.4,-0.65,1.04
4.0,29.52,-74.67,-71.83,6.01,12.93,0.32,-0.99,0.99
-12.4,37.45,-28.43,151.88,29.53,-40.2,0.45,-1.0,0.71
-6.48,53.35,0.32,91.65,55.44,-20.9,0.07,0.04,0.62
1.83,49.6,-6.6,-28.32,-10.76,5.91,-0.16,0.45,0.68
10.71,27.33,-52.67,-153.45,-69.44,34.0,0.37,-0.44,0.86
7.84,19.64,-81.13,-96.89,-23.99,25.3,0.34,-0.95,0.71
-12.1,26.47,-36.66,145.17,23.68,-39.0,0.36,-1.16,0.75
-8.98,42.73,1.03,122.87,56.46,-28.9,0.21,-0.18,0.73
-2.63,43.45,9.49,22.36,4.82,-8.52,0.04,0.42,0.47
8.97,23.63,-29.79,-130.8,-63.82,29.0,0.12,-0.11,0.86
5.65,15.35,-66.67,-123.0,-27.18,18.0,0.22,-0.86,0.94
-2.07,10.93,-54.97,36.11,-16.05,-6.68,0.12,-1.17,1.05
-11.48,33.5,-8.11,155.76,75.97,-37.1,0.27,-0.63,0.61
-6.77,38.16,16.03,77.25,16.28,-21.85,-0.0,0.16,0.58
3.09,35.46,-1.3,-59.69,-8.99,10.01,-0.11,0.25,0.67
15.22,24.77,-47.95,-152.94,-33.63,49.0,0.21,-0.67,0.94
5.26,14.79,-76.35,-95.12,-33.29,16.9,0.12,-0.99,0.68
-13.3,20.64,-33.48,141.08,20.0,-43.2,0.37,-1.12,0.67
-9.48,32.31,7.87,137.11,41.14,-30.6,0.31,-0.31,0.72
-6.83,36.63,23.72,46.91,15.88,-21.97,0.07,0.45,0.38
6.57,23.05,-11.75,-117.43,-43.72,21.0,0.1,0.04,0.73
8.83,9.54,-56.13,-147.14,-44.21,28.0,0.37,-0.79,1.06
0.67,13.62,-47.81,26.23,13.36,2.17,0.42,-1.09,0.86
-18.03,28.28,-3.4,148.57,50.23,-58.3,0.38,-0.74,0.66
-16.17,26.84,26.33,96.85,-4.42,-52.35,0.03,0.15,0.51
7.52,26.48,7.18,-65.38,-2.22,24.34,-0.08,0.36,0.69
12.61,11.66,-40.06,-154.82,-48.57,40.0,0.22,-0.5,0.97
7.99,4.47,-73.49,-112.98,-23.97,25.0,0.43,-0.87,0.94
-16.64,9.99,-32.34,135.02,19.06,-53.8,0.69,-1.16,0.64
-13.91,29.72,3.26,116.85,66.54,-44.8,0.26,-0.21,0.66
-12.27,30.8,17.23,41.53,5.47,-39.59,0.15,0.41,0.5
7.11,16.0,-16.74,-114.79,-47.41,23.0,0.22,0.2,0.74
11.97,16.01,-62.27,-151.34,-0.33,38.7,0.23,-0.81,1.02
0.21,9.7,-68.92,-24.09,-20.5,0.67,0.45,-1.17,0.71
-8.33,25.77,-23.82,148.32,54.41,-26.8,0.49,-0.98,0.68
-13.47,33.44,4.53,90.45,28.22,-43.6,0.26,0.12,0.69
-1.85,42.05,7.03,3.38,29.79,-5.97,0.03,0.48,0.63
12.96,29.44,-37.91,-150.4,-38.39,41.0,0.27,-0.1,0.86
10.46,25.18,-72.67,-116.79,-12.12,33.0,0.34,-0.86,0.87
-9.8,21.12,-49.1,75.47,-11.81,-31.7,0.48,-1.2,0.96
-13.29,37.75,-5.92,141.6,58.62,-42.8,0.4,-0.39,0.62
-3.07,47.27,13.59,63.21,33.53,-9.94,0.02,0.11,0.74
2.27,44.49,5.85,-28.08,-6.83,7.33,0.0,0.32,0.72
16.5,28.18,-53.83,-198.24,-51.12,53.0,0.27,-0.42,1.06
2.05,23.38,-76.44,-77.79,-14.52,6.62,0.27,-0.87,0.82
-16.1,28.0,-40.59,116.54,17.9,-52.2,0.54,-1.06,0.73
-5.19,51.47,-5.94,113.63,80.76,-16.7,0.21,-0.34,0.71
-11.39,57.73,6.75,36.87,24.52,-36.74,0.05,0.4,0.64
1.96,44.47,-31.39,-127.07,-40.04,6.3,0.09,-0.15,0.88
9.92,54.09,-69.26,-127.43,35.03,32.1,0.08,-0.8,1.03
-4.47,49.18,-65.0,10.61,-12.72,-14.3,0.07,-1.08,1.01
-11.7,61.93,-19.84,147.8,48.3,-38.1,0.31,-0.57,0.69
-12.55,49.25,5.57,81.4,-37.99,-40.5,0.01,0.06,0.63
3.38,49.63,-1.0,-25.42,3.5,10.94,-0.05,0.33,0.7
19.58,33.58,-50.63,-163.71,-48.98,63.0,0.31,-0.54,0.92
6.25,37.96,-68.17,-60.97,17.52,20.21,0.35,-0.87,0.91
-11.4,44.78,-32.84,115.91,26.8,-36.9,0.48,-1.1,0.81
-16.1,58.92,6.21,128.63,52.72,-51.9,0.29,-0.24,0.66
-6.7,65.67,24.18,54.37,27.88,-21.61,0.11,0.51,0.48
9.73,60.0,-8.88,-110.24,-12.14,31.0,0.2,0.18,0.73
6.17,52.58,-49.78,-134.92,-18.6,19.0,0.35,-0.73,0.96
-1.39,37.83,-51.76,-7.05,-43.41,-4.51,0.62,-1.23,0.75
-16.3,59.99,-12.1,131.73,79.58,-52.8,0.56,-0.83,0.59
-15.1,69.7,14.93,88.1,38.48,-48.7,0.12,0.03,0.56
4.33,68.82,10.42,-18.56,2.84,14.01,0.02,0.4,0.58
12.36,54.43,-38.63,-161.72,-39.97,40.0,0.44,-0.41,0.94
8.8,44.06,-65.71,-91.31,-28.39,28.2,0.52,-0.89,0.97
-8.2,46.05,-48.14,56.78,11.34,-26.52,0.55,-1.32,0.86
-16.55,51.35,-7.45,134.17,24.33,-53.5,0.37,-0.37,0.5
-11.87,57.59,17.18,79.14,23.88,-38.16,-0.0,0.13,0.6
11.3,58.3,-10.9,-94.87,8.73,36.56,0.22,0.17,0.64
14.61,32.34,-51.08,-132.31,-81.57,47.0,0.29,-0.73,0.85
7.83,22.4,-65.27,-47.86,-31.17,25.2,0.28,-1.01,0.66
-9.54,32.28,-22.75,139.92,35.23,-30.7,0.45,-0.91,0.68
-25.95,49.27,15.27,121.75,57.3,-83.9,-0.02,0.14,0.39
6.42,61.35,8.3,-25.81,44.28,20.72,0.09,0.36,0.65
6.77,43.66,-41.26,-164.13,-53.78,21.0,0.17,-0.29,0.85
6.86,37.35,-78.01,-123.52,-17.58,22.0,0.27,-0.93,0.87
-13.5,38.75,-43.03,114.67,7.75,-43.94,0.37,-1.32,0.7
-7.49,53.57,-3.42,130.83,53.76,-24.1,0.29,-0.45,0.68
-13.36,61.16,23.57,84.39,28.29,-43.24,-0.06,0.5,0.57
6.57,35.06,6.57,-57.68,-83.34,21.1,-0.02,0.29,0.64
20.72,28.7,-44.95,-169.07,-18.11,67.0,0.41,-0.69,1.0
3.52,0.48,-62.2,-57.69,-91.43,11.4,0.63,-1.09,0.51
-16.7,16.72,-24.42,125.04,54.43,-54.1,0.54,-0.95,0.6
-22.81,45.02,12.02,119.34,94.88,-73.3,0.14,-0.1,0.59
-5.57,54.52,18.53,17.34,33.26,-18.01,-0.11,0.6,0.67
11.87,29.51,-21.46,-134.43,-78.78,38.0,0.17,0.18,0.71
19.88,13.46,-68.41,-156.03,-51.51,64.0,0.47,-1.01,0.98
-6.0,7.74,-66.66,3.36,-19.26,-19.36,0.33,-1.04,0.66
-15.5,22.82,-28.0,126.36,50.54,-50.2,0.4,-0.84,0.73
-24.23,29.44,9.31,120.25,23.43,-78.4,0.16,0.09,0.61
9.28,39.12,1.18,-30.79,33.3,29.93,0.06,0.36,0.61
11.72,25.32,-51.92,-175.6,-42.99,37.0,0.31,-0.5,1.04
7.03,25.0,-77.44,-86.95,0.35,22.75,0.29,-0.9,0.71
-13.6,16.83,-45.69,102.93,-26.34,-44.0,0.34,-1.21,0.88
-20.84,39.8,-3.18,138.9,80.09,-67.2,0.42,-0.28,0.58
-4.86,45.53,7.51,28.87,20.17,-15.69,-0.05,0.47,0.48
13.25,27.54,-36.04,-145.64,-54.34,42.0,0.49,-0.1,0.84
12.83,17.9,-67.42,-106.53,-28.78,41.0,0.66,-0.75,0.96
1.73,14.79,-71.2,-16.33,-7.9,5.6,0.54,-0.78,0.53
-22.1,29.88,-22.17,161.28,51.67,-71.4,0.42,-0.91,0.62
-19.51,48.99,12.39,111.58,65.52,-62.9,0.09,0.07,0.58
4.53,43.25,-0.66,-47.19,-16.53,14.6,0.01,0.4,0.66
11.34,27.0,-58.68,-192.53,-51.16,36.0,0.26,-0.57,1.03
8.66,18.48,-80.35,-74.6,-26.63,27.8,0.34,-0.92,0.74
-13.4,23.75,-36.39,143.8,19.04,-43.6,0.48,-1.13,0.72
-16.47,36.29,3.25,129.8,43.01,-53.1,0.14,-0.18,0.62
-1.32,49.42,0.22,-15.53,46.13,-4.26,0.09,0.5,0.63
