yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.33,-12.29,-10.82,56.51,-105.19,111.0,0.52,-0.74,0.17
28.49,-35.29,9.16,68.53,-80.22,91.89,0.49,-0.95,0.53
18.0,-17.88,93.31,285.26,53.94,58.06,1.05,-1.19,-0.9
20.8,-7.62,46.93,-141.74,30.63,67.3,0.46,-0.89,0.7
-63.1,48.45,129.37,285.26,186.06,-203.0,1.14,-2.0,1.58
46.45,-8.68,88.63,-118.26,-190.34,14.0,-0.02,-0.3,-0.35
75.16,-86.33,62.83,-71.46,-265.84,243.0,0.37,-1.47,0.86
40.0,-138.21,143.59,285.26,-188.04,129.0,0.49,-1.5,-0.0
12.7,-141.96,74.16,-211.06,-30.2,40.0,0.47,-0.54,0.11
-62.0,-65.87,127.35,191.99,234.43,-203.0,0.53,-2.0,1.52
16.2,-51.46,130.26,25.68,32.09,52.53,-0.42,-0.43,-0.96
91.6,-127.87,65.2,-199.62,-265.69,29.0,0.77,-1.35,0.97
43.0,-150.01,146.32,285.26,-96.05,138.0,-0.05,-1.77,0.74
12.0,-142.58,101.84,-128.62,3.31,41.84,0.23,-0.42,-0.38
-63.0,-66.16,108.55,39.04,234.43,-203.0,0.42,-1.94,1.43
-35.0,-23.2,161.34,191.48,128.57,-115.0,-0.37,-0.4,-0.88
92.26,-84.78,90.17,-215.01,-211.05,29.0,0.6,-1.17,1.03
16.0,-154.14,169.87,285.26,-247.09,54.0,0.46,-1.79,0.4
21.0,-126.81,134.82,-94.31,66.44,70.49,-0.02,-0.28,-0.35
-47.0,-51.58,131.93,10.65,234.43,-153.0,0.86,-1.57,1.11
-51.0,-11.69,210.04,285.26,122.03,-166.0,-0.01,-0.6,-0.15
91.6,-60.89,137.92,-215.01,-166.04,29.0,0.69,-0.49,0.51
39.0,-136.71,192.33,204.71,-265.84,126.0,0.39,-1.54,0.95
-9.0,-106.76,198.52,44.79,77.21,-29.16,-0.02,-0.19,-0.57
-25.0,-48.72,164.15,-87.14,179.78,-83.0,0.9,-1.68,1.35
-63.1,14.39,241.81,285.26,206.57,-203.0,0.57,-0.64,0.07
85.9,-42.13,170.74,-209.98,-185.46,27.0,0.82,-0.07,0.62
61.0,-118.19,194.42,105.47,-265.84,197.0,-0.02,-1.49,1.11
-6.0,-114.46,216.52,97.42,-6.54,-21.18,0.15,-0.14,-0.8
0.42,-88.26,164.8,-142.76,71.28,1.36,0.76,-1.55,1.11
-63.0,-51.45,241.96,285.26,110.8,-203.0,0.55,-1.07,0.29
91.9,-94.21,168.2,-215.01,-149.43,29.0,0.35,-0.29,0.25
