yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.04,19.18,-25.9,7.44,-22.82,13.86,0.41,-0.95,-0.17
61.32,38.21,26.81,178.72,58.64,198.4,-0.3,-2.0,0.99
-17.47,50.29,13.94,-43.01,39.14,-56.5,0.03,-0.08,-0.84
-59.82,74.92,4.45,-30.5,87.16,-192.0,1.54,-1.09,1.76
-25.75,91.16,6.26,5.5,54.27,-83.35,-0.59,-0.47,-1.12
75.75,91.43,-71.43,-259.07,7.58,245.1,0.53,-2.0,2.0
27.02,77.18,-12.16,192.92,-37.43,87.4,0.62,-0.74,0.13
-16.4,46.51,-90.01,-259.07,-96.15,-53.0,0.45,-0.87,0.21
-78.8,82.59,-15.84,241.2,124.91,-255.0,1.1,-1.79,0.7
73.57,22.55,-86.24,-236.74,-196.16,23.0,0.08,-0.29,-0.29
64.6,-48.49,-53.81,100.98,-244.39,209.0,-0.3,-2.0,1.45
-25.0,-40.61,-48.73,5.08,16.33,-82.42,0.36,0.08,-0.75
-62.6,58.67,-39.93,-152.23,80.33,-255.0,1.16,-2.0,1.31
75.9,37.89,-116.16,166.13,240.04,-202.0,0.22,-0.28,-0.33
45.77,14.31,-55.29,-259.07,-65.73,245.0,0.81,-1.46,1.06
-32.0,-3.33,-112.81,194.71,-78.93,147.0,0.35,-1.18,0.12
-79.0,27.18,-40.33,-199.79,-58.76,-10.0,0.52,-0.49,-0.24
39.81,-2.78,-74.78,230.67,98.52,-255.0,1.21,-2.0,1.5
76.2,-26.19,-69.56,-121.24,-106.17,12.0,-0.12,-0.28,-0.43
-13.0,-27.22,-57.95,10.19,-86.53,245.1,-0.26,-2.0,1.69
-78.8,-3.01,-48.83,25.18,-5.48,-42.4,0.51,0.04,-0.25
-28.3,17.54,-17.76,24.13,71.57,-255.1,0.22,-1.58,2.0
75.75,28.89,-94.08,97.18,56.69,-91.04,-0.48,-0.37,-0.57
38.1,-11.91,-48.61,-259.07,31.31,245.0,-0.53,-1.02,1.43
-25.0,-5.08,-121.62,143.56,-135.61,123.0,0.62,-0.8,0.14
-79.0,29.66,-46.05,-250.0,19.62,-81.0,0.8,-0.86,0.45
50.8,-5.82,-119.21,241.2,110.39,-255.0,0.42,-2.0,1.27
75.0,-44.58,-109.2,-252.66,-120.68,16.0,0.09,-0.19,-0.41
-15.0,-55.06,-99.62,20.35,-138.79,245.0,-0.1,-2.0,1.73
-79.0,-18.82,-101.8,13.46,-41.48,-49.7,0.44,0.01,-0.36
-18.84,4.09,-84.25,-18.96,109.78,-255.0,0.92,-2.0,2.0
75.7,-0.34,-158.25,42.69,64.5,-60.78,-0.34,-0.16,-0.84
36.0,-17.91,-117.63,-259.07,-19.06,245.0,0.9,-2.0,2.0
-36.0,-1.25,-188.35,116.6,-59.54,116.0,0.64,-0.54,0.14
-79.0,73.52,-109.63,-251.5,48.46,-118.0,0.31,-0.9,0.88
57.4,46.65,-147.75,241.2,248.88,-255.0,0.94,-1.11,0.66
75.9,11.67,-177.45,-147.03,-96.03,185.0,-0.23,-0.01,-0.12
-17.0,12.15,-176.83,-117.68,-120.83,24.0,-0.93,-2.0,1.84
-79.0,43.37,-161.24,-23.76,2.17,-55.21,0.3,-0.11,-0.29
-49.0,94.36,-119.75,117.72,176.17,-159.0,0.36,-2.0,2.0
75.0,101.41,-192.22,-259.07,30.09,245.0,0.22,-0.15,-0.21
54.0,34.27,-150.16,118.62,-213.94,173.0,0.16,-0.88,1.32
-20.0,42.79,-222.02,-259.07,31.05,-66.0,0.72,-1.11,0.26
-79.0,96.36,-142.21,241.2,182.72,-255.0,0.6,-0.84,0.02
75.0,-10.53,-166.99,-177.43,-124.57,19.0,1.02,-1.58,0.81
-19.0,-8.08,-159.02,51.73,-224.67,245.0,0.06,-0.11,-0.28
-79.0,41.88,-157.13,2.76,4.22,-64.16,0.61,-2.0,1.38
-23.0,66.69,-135.55,-12.86,161.88,-255.0,0.3,-0.17,-0.43
75.0,101.59,-207.83,49.85,78.24,-76.04,0.76,-2.0,1.82
11.3,97.12,-175.15,-259.07,120.33,245.0,-0.38,-0.25,-0.67
-50.0,126.63,-223.56,85.05,-3.28,36.59,0.41,-2.0,2.0
-79.0,177.24,-144.04,-183.62,108.01,-16.0,0.48,-0.6,-0.11
75.0,143.04,-216.19,241.2,179.24,-255.0,0.73,-1.53,1.12
23.0,104.98,-163.72,-259.07,-96.14,245.0,-0.09,-0.75,-0.44
-21.0,100.38,-229.7,152.33,-112.6,74.0,0.33,-0.98,0.77
-79.0,136.16,-149.76,-240.14,-5.31,-69.0,0.47,-1.12,-0.01
47.0,113.59,-184.49,241.2,126.21,-255.0,0.45,-1.03,-0.31
75.7,69.81,-192.09,-136.0,-68.31,151.0,-0.02,-2.0,1.12
-16.0,72.19,-185.95,-47.64,-140.85,245.0,-0.28,-0.35,-0.39
-79.0,132.09,-199.84,-6.34,15.82,-54.52,-0.51,-2.0,1.57
-58.0,162.43,-119.95,-68.37,205.62,-255.0,0.38,-0.21,-0.39
