yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.0,-32.2,9.7,3.6,-7.61,0.28,0.76,-0.54,-0.4
-38.75,-13.92,6.02,-11.95,61.79,-125.0,1.41,-1.0,-0.4
-12.49,18.25,69.19,198.87,101.15,-40.0,-0.16,0.45,-0.14
-39.43,17.19,24.94,-148.66,4.38,-127.0,0.7,0.39,0.12
-25.27,11.59,-3.53,-99.65,-10.13,-81.0,2.0,0.43,0.73
58.47,2.9,0.78,13.25,-25.98,189.2,0.21,-0.23,0.25
-17.06,38.08,19.4,54.44,124.66,-55.0,0.41,0.16,0.12
-38.33,67.07,86.75,221.89,107.4,-124.0,1.43,0.52,0.94
58.71,36.56,97.69,43.99,-87.95,190.0,1.39,-0.18,-0.7
-22.27,16.85,48.65,-166.55,-62.4,-71.0,0.17,0.82,0.24
-75.5,36.44,40.97,-29.94,71.79,-243.0,0.59,0.51,0.23
30.49,10.52,28.38,-38.19,-77.22,98.6,1.9,-1.15,0.23
45.26,25.7,19.77,-40.68,47.9,146.4,-0.25,0.88,0.02
-22.1,59.96,77.47,185.37,119.07,-71.0,0.26,0.55,0.44
-42.92,78.63,67.93,-29.08,75.82,-138.0,1.05,0.32,-0.55
0.0,28.25,0.05,-131.95,-221.8,91.0,0.17,0.65,0.67
0.31,-4.3,20.98,-37.98,-49.59,0.99,0.0,0.44,0.26
-59.39,7.44,20.66,-2.72,44.65,-192.2,0.8,-0.12,0.42
44.14,-45.11,40.17,59.79,-171.87,142.0,1.58,0.84,1.21
36.88,-71.98,69.53,90.71,-94.77,118.9,0.26,0.43,-0.02
-41.1,-53.08,32.34,-127.19,56.86,-133.0,0.59,0.62,-0.32
-5.94,-72.75,13.9,-66.37,-68.02,-19.0,2.0,0.98,0.79
52.8,-89.77,11.28,-14.09,-61.08,170.0,0.44,0.11,0.19
-29.8,-67.55,16.62,10.25,68.51,-96.43,0.4,0.22,0.04
-50.6,-29.38,66.84,163.89,125.57,-163.0,1.56,0.49,0.6
50.06,-40.12,74.7,27.86,-36.57,161.4,1.06,0.39,-0.98
4.4,-50.92,24.65,-171.1,-41.72,14.0,0.22,0.56,0.31
-45.47,-53.15,9.43,-61.86,-13.52,-147.0,0.34,0.69,0.12
-42.47,-46.31,6.92,-9.91,22.36,-136.9,1.34,-0.5,0.22
77.55,-74.3,7.62,-8.59,-99.19,250.9,0.74,1.09,0.68
15.51,-52.36,70.5,200.31,60.43,50.03,-0.03,0.27,0.23
-35.4,-43.15,20.28,-170.86,27.39,-114.0,0.61,0.58,-0.23
19.06,-83.99,-8.93,-102.69,-136.94,61.0,2.0,0.52,0.8
40.47,-94.4,-7.23,-1.4,-39.81,130.9,0.51,0.03,0.2
-32.11,-95.4,6.9,39.02,-10.69,-103.0,0.54,0.17,0.28
-48.6,-61.3,48.91,134.63,107.8,-157.0,1.62,0.58,0.66
45.83,-81.03,99.47,167.83,-69.71,147.0,0.8,0.39,-0.4
-1.6,-111.54,45.03,-185.88,-114.75,-5.0,0.16,0.75,0.08
-57.5,-79.78,44.82,-5.34,95.21,-184.9,0.74,0.63,0.25
0.49,-104.63,38.59,-16.51,-88.89,1.59,1.99,-1.11,-0.07
72.35,-92.47,46.03,15.47,24.62,234.15,0.05,1.0,0.38
-14.0,-71.59,100.57,180.63,57.61,-46.0,0.24,0.41,0.68
-24.7,-68.69,64.77,-117.53,3.31,-79.4,0.56,0.56,-0.23
-16.9,-85.65,49.03,-53.21,-62.0,-54.0,1.57,0.85,0.87
51.98,-84.16,36.54,-39.82,0.02,168.21,0.56,-0.09,0.21
-1.61,-58.33,54.29,53.42,78.07,-5.21,0.47,0.5,0.3
-43.0,-23.57,108.63,181.54,113.38,-141.0,0.92,0.43,0.57
17.37,-27.13,55.47,21.36,-8.01,35.75,1.58,0.32,-0.76
-19.5,-35.82,46.1,-189.64,-6.68,56.0,0.08,0.6,0.44
-43.7,-25.28,45.66,-38.3,-32.41,-63.0,0.28,0.67,0.11
59.8,-67.96,45.2,2.15,37.02,-141.45,0.97,-0.38,0.2
0.97,-30.34,105.31,-4.46,-145.67,193.0,0.68,0.58,0.94
-23.6,-34.34,66.2,192.38,115.76,3.12,0.1,0.69,0.14
-24.8,-17.27,55.04,-129.22,-14.62,-76.0,0.52,0.6,0.09
0.0,50.15,0.28,-36.98,57.6,-80.2,1.84,0.8,1.07
0.92,7.97,62.84,-1.71,21.3,161.78,0.53,-0.36,0.38
-41.5,37.34,122.51,28.82,64.62,2.98,0.28,0.45,0.26
-5.88,41.33,112.98,199.15,102.67,-134.0,0.6,0.59,0.49
22.1,12.99,52.77,-20.44,26.15,-18.9,2.0,-0.15,-0.45
-20.55,9.92,46.4,-199.05,-93.84,71.0,-0.1,0.41,0.43
-34.85,10.53,47.77,-28.19,-7.87,-66.2,0.22,0.47,0.1
62.54,-18.19,45.6,6.01,9.86,-112.41,1.24,-0.11,0.5
-9.97,-10.82,86.63,-10.13,-95.45,202.0,0.41,0.59,1.03
-33.74,-7.26,63.47,133.34,24.9,-32.2,0.39,0.42,0.27
29.8,-61.84,31.49,-78.36,13.21,-109.0,1.89,0.74,1.19
37.26,-91.91,32.1,-106.5,-179.2,95.0,0.32,0.21,0.32
-29.7,-69.87,44.02,-2.59,-106.95,120.0,0.68,0.35,0.48
-0.42,-73.36,76.49,35.95,65.87,-96.33,1.96,0.83,1.07
27.7,-97.68,101.8,107.18,-16.32,-1.3,0.49,0.44,-0.24
-6.82,-84.8,67.46,84.41,-87.84,89.15,0.15,0.67,0.23
28.92,-93.18,57.06,-116.63,29.26,-22.0,0.68,0.83,0.46
20.52,-63.44,60.09,-5.4,18.57,-154.5,1.43,-0.44,0.04
-33.0,-36.83,107.18,-26.26,-58.97,93.3,0.04,0.72,0.31
9.08,-39.71,91.62,3.48,85.22,66.2,0.56,0.39,0.37
20.96,-37.35,45.96,157.28,84.74,-107.0,1.86,0.1,-0.68
-23.2,-34.33,34.99,-43.83,-7.89,29.37,0.33,0.56,0.52
-33.0,-28.43,37.21,-152.73,3.13,67.84,0.5,0.44,0.1
