yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.08,-26.16,-4.61,20.18,-26.62,27.78,0.81,-0.65,0.05
-24.0,-52.75,15.21,65.3,-90.52,-77.7,0.82,-0.38,-0.56
-36.5,-14.97,76.41,200.88,117.82,-118.0,0.09,0.2,0.38
-44.25,7.05,48.42,-91.81,69.49,-142.0,0.15,0.35,-0.49
-30.27,23.0,20.25,-94.45,58.82,-97.9,2.0,0.66,0.89
61.8,5.6,36.76,58.96,-52.34,199.9,0.61,-0.4,-0.18
45.04,28.67,40.87,5.58,76.69,145.28,0.16,0.47,0.05
-0.63,46.39,101.56,200.54,61.81,-2.05,0.18,0.4,0.39
-28.64,47.57,63.33,-121.03,14.29,-92.0,0.82,0.3,-0.35
32.03,-14.21,35.93,9.07,-141.12,177.5,2.0,0.53,1.0
54.86,-55.19,35.62,42.89,92.26,-7.16,0.16,-0.38,0.01
-2.23,-25.06,50.38,187.36,75.26,-132.0,0.23,0.53,0.26
-40.8,-2.37,106.08,-2.47,85.71,-69.79,0.8,0.48,0.6
-21.5,21.07,102.04,-167.79,-194.92,15.0,2.0,-0.16,-0.2
47.28,-36.8,51.19,-17.47,-155.62,95.0,0.09,0.69,0.54
29.62,-81.48,46.96,43.07,78.64,-73.82,0.13,0.21,0.14
-22.8,-55.83,60.28,173.5,100.63,-97.0,0.56,0.37,0.16
-30.0,-23.76,112.03,34.68,-121.29,118.0,0.66,0.69,0.72
36.6,-59.62,119.4,-149.32,-1.58,2.02,1.4,0.35,-1.06
0.63,-56.92,73.61,-28.32,-56.32,-34.0,0.1,0.49,0.24
-10.7,-71.14,65.24,29.5,71.09,-107.2,0.25,0.43,0.32
-33.1,-49.1,72.51,119.34,44.0,1.05,1.03,0.01,0.22
0.32,-35.38,106.71,148.59,-98.68,146.0,2.0,0.56,0.86
45.4,-64.13,149.35,-139.51,24.03,-11.0,0.56,0.44,-0.24
-3.4,-53.7,105.98,-24.67,-43.21,-104.0,0.12,0.55,0.13
-32.4,-63.73,97.75,50.66,23.5,-115.6,0.14,0.51,0.31
-35.0,-55.83,109.73,98.85,42.45,23.91,0.71,-0.08,0.23
