yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.0,-12.4,-11.24,-2.54,6.66,-22.49,0.69,-0.72,0.0
15.94,-3.58,-11.65,-0.76,29.23,51.58,0.53,-0.62,-0.02
-3.65,11.9,38.69,169.84,50.58,-11.7,0.76,-1.4,0.87
-22.67,24.15,86.89,173.97,39.05,-73.3,0.01,-0.2,0.03
8.96,-7.47,23.59,-204.84,-104.3,28.0,0.32,-0.08,0.78
-4.9,-49.56,-10.6,-113.25,-146.32,-1.0,0.24,-0.9,1.91
-18.1,-48.53,43.35,182.73,-4.37,-58.6,0.58,-1.22,0.62
-28.1,-10.0,82.61,131.28,125.54,-91.0,0.13,0.05,-0.1
14.06,-14.57,14.23,-219.96,-18.11,45.0,0.34,-0.3,0.84
0.38,-15.57,-6.04,-66.15,-6.32,1.23,0.68,-0.96,1.14
-24.08,-6.87,50.47,192.42,25.97,-77.9,0.58,-1.24,0.69
-24.53,-1.96,89.95,124.72,13.17,-79.1,0.04,0.17,0.01
8.98,-22.22,32.72,-184.04,-69.59,28.0,0.29,-0.07,0.71
-18.8,-55.52,38.73,-113.54,-132.28,25.0,0.38,-0.91,0.73
-29.1,-54.14,78.01,141.23,5.69,-60.96,0.62,-1.2,1.04
9.51,-63.53,35.92,133.31,3.3,-94.14,0.43,-0.04,0.09
24.0,-128.21,-28.22,-136.16,-39.89,30.0,0.22,0.05,0.5
-10.0,-127.03,-3.13,-208.93,-227.59,80.0,0.6,-1.14,0.66
-37.7,-95.15,56.11,83.19,-14.95,-35.3,0.47,-1.13,0.69
-0.92,-95.87,32.68,205.42,87.12,-122.0,0.1,-0.69,0.09
11.0,-110.38,-11.49,-77.94,-13.95,-2.9,0.29,0.14,0.31
-2.2,-104.63,14.21,-143.62,-64.23,37.0,0.35,-0.91,1.02
-18.0,-105.3,65.74,85.57,1.61,-7.4,0.26,-0.88,1.13
-12.0,-102.63,48.22,179.74,-18.61,-58.0,0.22,-0.76,0.29
2.87,-102.63,-5.48,-57.17,-2.95,-40.0,0.33,0.16,0.25
-4.53,-88.26,10.61,-173.35,-17.67,9.3,0.08,-0.9,0.99
-27.9,-59.6,68.03,53.86,34.66,-14.61,0.79,-0.89,0.83
-5.06,-65.57,71.04,194.73,84.95,-90.2,0.65,-0.66,0.62
11.69,-72.7,6.34,8.15,-27.81,-16.36,0.19,0.26,0.11
5.1,-106.12,-10.31,-210.42,-34.61,37.0,0.41,-0.43,1.11
-15.6,-91.28,45.74,-54.06,-123.56,16.0,0.56,-0.95,0.86
-21.8,-71.4,77.52,188.35,33.65,-50.2,0.47,-1.15,0.89
13.85,-83.38,20.03,104.02,57.77,-70.6,0.19,0.14,-0.02
-3.6,-91.96,-18.7,-186.62,-49.6,44.0,0.4,-0.06,0.6
-15.7,-97.44,22.48,-126.27,-41.69,-11.0,0.45,-0.93,0.78
-34.9,-77.53,72.8,137.08,-31.07,-50.0,0.83,-1.14,0.92
10.17,-80.29,34.48,171.62,55.92,-112.0,0.39,-0.26,0.24
6.91,-97.75,-12.02,-125.43,-21.26,32.0,0.16,0.11,0.42
-7.64,-92.94,8.49,-150.94,-71.14,22.0,0.49,-0.92,0.88
-21.7,-90.61,66.33,68.8,1.38,-24.66,0.4,-0.86,0.76
1.36,-85.84,59.9,197.15,-4.82,-70.2,0.48,-0.62,0.52
-1.93,-74.4,-8.2,-25.07,3.61,4.4,0.16,0.27,0.06
-6.08,-53.36,4.09,-221.01,23.75,-6.2,0.19,-0.85,1.1
-18.5,-93.62,74.69,39.83,59.57,-19.61,0.69,-0.9,1.33
1.57,-73.58,58.85,238.51,-143.58,-59.0,0.39,-0.62,0.66
8.53,-77.64,-2.98,-55.88,53.87,5.09,0.16,0.34,0.12
-6.36,-72.81,8.39,-199.88,-24.63,27.0,0.63,-0.94,1.01
-17.9,-67.78,67.99,38.42,3.63,-20.52,0.38,-0.88,1.04
-7.8,-60.38,71.35,202.78,6.54,-58.06,0.49,-0.67,0.66
6.82,-55.89,13.26,8.51,15.66,-25.15,0.18,0.28,0.09
-2.4,-77.48,-11.15,-187.24,5.02,22.07,0.35,-0.52,1.02
-16.7,-79.75,31.75,-77.75,-82.76,-7.7,0.24,-0.93,0.68
-31.3,-61.96,84.13,145.94,-20.2,-54.0,0.37,-1.07,0.66
12.06,-52.72,35.92,183.48,49.14,-101.0,0.22,-0.35,0.02
2.46,-60.85,-9.27,-158.19,21.09,39.0,0.22,0.21,0.59
-1.42,-55.08,6.79,-146.15,-36.48,7.9,0.37,-0.84,0.93
-22.8,-51.95,63.51,54.52,9.75,-4.59,0.44,-0.9,0.75
-8.22,-35.1,59.22,193.55,1.47,-73.87,0.35,-0.73,0.67
13.09,-60.33,-5.62,-13.56,51.04,-26.5,0.25,0.15,0.23
7.25,-96.78,-12.2,-208.92,-92.72,42.0,0.15,-0.75,0.84
-28.1,-82.34,47.12,-21.42,-131.29,23.0,0.64,-0.91,0.65
-17.1,-77.41,60.38,200.83,34.47,-91.0,0.51,-1.02,0.61
19.7,-75.26,-11.48,39.8,6.51,-55.38,0.43,-0.69,0.98
-0.9,-89.5,-19.77,-233.47,-4.77,63.8,0.29,-0.92,1.03
-13.4,-84.41,35.42,-28.55,-60.87,-3.0,0.41,-0.98,0.85
-20.9,-83.36,79.03,185.03,3.18,-43.64,0.03,-0.12,0.1
16.4,-76.39,18.56,153.35,-10.86,-67.0,0.44,-0.07,0.7
14.4,-91.22,-20.73,-196.42,12.27,52.9,0.85,-1.04,0.68
-26.4,-80.24,18.14,-128.59,-59.96,46.0,0.95,-1.24,0.8
-52.2,-73.27,68.12,129.34,24.75,-85.1,0.3,-0.39,0.12
23.32,-74.23,21.83,173.17,13.34,-168.0,0.21,0.07,0.37
4.2,-77.99,-10.38,-151.72,-13.43,74.0,0.68,-0.86,0.84
-10.2,-74.19,13.82,-105.0,-22.98,13.0,0.61,-0.97,0.96
