yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.13,57.96,0.14,4.9,-40.99,42.08,0.21,-0.85,0.29
-7.55,59.89,-3.41,-9.95,12.68,-24.43,0.26,-0.78,0.28
-12.54,59.89,48.3,173.65,7.4,-40.44,0.69,-1.3,0.76
-17.91,66.62,75.61,92.07,38.66,-57.96,0.38,-0.01,0.01
22.58,38.67,2.62,-236.29,-86.51,73.0,0.44,-0.93,0.78
0.46,48.87,26.67,81.13,38.8,1.48,0.54,-1.0,0.76
-36.61,50.84,92.19,226.63,10.04,-118.0,0.09,-0.82,0.28
7.69,41.77,60.46,-106.94,-24.27,24.0,0.13,0.22,0.18
27.33,60.01,9.07,-166.51,68.08,88.7,1.1,-1.31,0.9
-5.94,62.89,46.92,128.2,17.28,-19.2,0.81,-1.32,1.06
-30.5,67.42,107.29,210.26,21.0,-98.2,0.07,-0.37,0.18
5.96,45.17,9.54,-152.67,-33.05,35.0,0.07,0.15,0.29
-12.16,32.53,41.48,-166.34,-28.69,19.0,0.65,-1.0,1.25
-49.67,59.52,94.34,107.77,-37.22,-39.0,0.67,-1.07,1.06
22.04,46.22,33.43,183.08,96.46,-160.0,0.36,-0.42,0.1
-3.37,59.13,-6.01,-198.38,-36.32,71.0,0.29,-0.01,0.46
-16.51,45.15,37.35,-129.38,48.86,-10.0,0.59,-1.04,0.97
-25.1,63.37,85.29,144.62,-39.92,-53.0,0.63,-1.19,0.9
26.32,52.08,14.84,169.36,66.27,-81.2,0.04,-0.12,-0.01
1.12,46.59,-13.64,-232.06,-30.25,84.0,0.33,0.02,0.76
-17.63,45.2,35.57,-94.71,-14.27,3.63,0.19,-0.86,0.87
-39.25,63.68,75.44,162.57,0.66,-56.87,0.65,-1.12,1.07
31.08,61.78,5.55,135.58,73.55,-127.0,0.2,-0.08,0.0
9.07,39.5,-10.58,-230.24,2.21,100.5,0.55,-0.26,0.92
-20.36,39.45,36.33,-54.31,-68.5,29.3,0.36,-0.89,0.84
-14.26,61.23,59.86,155.78,4.36,-65.68,0.58,-1.05,0.83
21.47,64.0,-12.69,68.64,77.49,-45.99,0.05,0.12,0.03
0.26,42.61,-8.67,-238.42,16.4,69.4,0.39,-0.64,0.83
-12.2,25.27,49.63,10.97,-65.22,0.84,0.4,-0.98,0.98
-5.03,43.54,52.18,194.65,-52.79,-39.0,0.54,-0.87,0.55
13.3,41.15,-4.43,-2.45,61.68,-16.28,0.01,0.17,0.02
-5.65,34.69,11.24,-186.48,-3.26,43.0,0.53,-0.71,1.15
-32.45,62.02,70.8,50.59,-17.64,-18.2,0.48,-0.9,1.08
5.12,75.44,53.74,200.09,95.75,-104.0,0.42,-0.64,0.71
30.73,32.58,-17.97,-62.69,53.14,16.5,0.18,0.34,0.05
-5.34,29.4,-4.65,-235.58,-134.15,99.0,1.02,-1.32,1.11
-43.97,33.21,58.7,42.29,-6.17,-17.28,0.77,-1.12,0.66
2.99,50.19,49.47,212.44,17.2,-141.0,0.58,-0.83,0.35
13.74,58.76,-18.67,-37.96,61.75,9.68,0.1,0.18,0.01
-2.99,53.17,-7.25,-224.51,33.75,44.4,0.43,-1.0,1.19
-36.86,49.86,53.5,34.78,-12.93,-9.69,0.34,-0.87,0.97
30.2,30.65,-25.57,203.02,-3.7,-118.0,0.53,-0.83,0.31
-5.92,40.65,-14.83,-54.68,13.87,17.45,-0.04,0.32,-0.02
-35.35,40.56,38.16,-217.06,-71.7,97.0,0.33,-1.04,0.87
-5.77,71.52,41.96,33.22,37.17,-19.17,0.41,-0.79,0.44
11.95,79.22,-18.2,176.34,4.46,-113.6,0.51,-1.02,0.48
1.34,77.1,-13.62,2.64,105.88,-18.68,-0.0,0.27,-0.13
-36.84,79.31,54.69,-199.22,34.7,38.6,0.59,-0.85,1.12
5.16,70.1,42.52,11.48,3.24,4.33,0.64,-0.86,0.9
18.59,59.3,-28.91,227.39,17.32,-118.0,0.56,-0.94,0.67
-3.45,56.17,-19.38,-48.22,-20.63,16.6,0.15,0.3,-0.07
-39.47,57.99,37.03,-236.45,-29.38,60.0,0.3,-0.93,1.12
-3.83,60.93,38.06,27.45,-2.44,-11.15,0.64,-0.88,0.66
22.08,41.31,-34.57,187.05,13.05,-127.0,0.51,-0.92,0.59
