yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.15,23.32,10.45,47.44,17.97,-48.59,0.3,-0.93,0.05
-13.98,30.98,20.45,43.54,27.17,-45.23,0.26,-0.92,0.06
-72.28,68.81,62.52,148.84,133.32,-233.0,1.04,-1.07,0.51
-62.77,86.52,98.86,136.05,59.86,-203.0,-0.28,-0.34,0.08
64.02,29.22,84.51,-30.37,-178.32,205.0,1.03,-1.04,0.23
17.13,84.21,168.92,297.28,192.42,55.4,1.28,-0.59,0.8
-13.6,64.11,180.0,53.76,-53.24,-44.0,0.62,0.45,-0.13
-90.9,53.69,142.45,-102.24,-26.8,-29.0,1.03,-0.48,1.99
-60.1,65.81,168.88,108.14,44.23,-193.0,0.03,-0.18,0.66
47.94,53.6,151.77,-34.25,-33.77,155.0,0.26,-0.24,0.77
47.8,107.78,219.01,244.46,192.37,154.0,1.35,0.07,1.04
-39.0,104.66,212.75,4.11,9.43,-127.61,0.65,0.24,0.03
-91.0,114.21,186.69,-59.98,46.38,-294.0,1.15,-0.16,1.94
-31.0,113.87,205.78,90.63,5.91,-101.86,-0.38,-0.23,0.54
58.1,112.03,239.34,140.05,10.08,187.4,1.37,-0.35,1.84
37.15,91.68,281.99,182.02,-53.9,120.0,0.3,-0.57,0.24
-83.3,70.92,223.95,-159.63,-56.39,-26.0,0.82,0.27,1.11
-58.5,84.21,244.53,101.12,48.42,-189.0,-0.2,-0.3,0.68
39.29,71.17,229.1,-19.21,-35.49,127.0,0.09,-0.11,0.64
40.0,144.15,293.88,244.21,257.2,129.0,1.21,0.57,0.98
-23.0,107.14,290.32,20.96,-102.12,-74.0,0.49,0.39,0.12
-90.9,78.13,248.24,-105.21,-82.89,-29.0,1.01,0.23,1.57
-29.3,77.98,269.66,107.32,0.63,-94.6,-0.69,-0.47,0.65
41.09,61.35,299.57,136.95,-43.79,132.0,1.34,-0.33,1.44
50.34,98.4,348.85,204.22,135.18,161.0,0.75,-0.07,0.62
-83.1,91.91,309.5,-88.46,-6.4,-269.0,0.37,0.09,0.36
-90.9,89.02,292.04,-19.03,1.59,-294.4,0.6,0.08,1.56
-8.03,95.38,295.82,53.93,23.04,-26.0,-0.57,-0.32,0.4
43.98,78.28,349.03,216.72,-42.06,141.0,1.81,0.1,1.6
46.7,108.55,388.92,179.54,112.56,150.0,0.35,-0.01,0.56
-78.6,76.14,331.66,-141.37,-93.49,-25.0,0.52,-0.08,0.67
-82.1,91.47,325.55,21.81,61.03,-264.0,0.6,0.11,1.27
40.9,102.03,391.68,10.7,28.63,22.08,-0.41,-0.17,0.49
57.7,114.98,389.88,297.28,27.3,132.3,1.64,0.08,1.08
-91.2,79.77,346.01,46.22,56.41,186.37,0.25,-0.09,0.57
-57.0,116.54,354.77,-96.49,-103.75,-29.0,0.47,-0.01,1.13
8.35,101.3,338.27,74.06,133.26,-185.0,0.49,0.06,1.25
37.0,114.07,377.95,-5.95,-43.81,27.01,-0.37,-0.3,0.53
31.6,106.32,396.83,175.3,57.82,119.8,1.19,0.63,1.42
-89.4,53.92,344.78,113.14,-9.76,101.8,0.38,-0.07,0.53
-48.0,95.67,354.07,-126.23,-162.7,-2.0,0.63,0.5,1.19
7.72,89.84,338.0,74.65,144.75,-154.0,0.15,0.18,0.99
43.3,142.95,376.2,-6.69,-10.53,24.97,0.01,-0.11,0.65
-1.9,129.73,376.58,167.77,189.85,139.0,0.54,0.72,0.96
-89.2,92.63,334.24,46.74,-20.64,-6.21,1.27,0.64,0.13
-34.0,114.95,353.45,-94.13,-107.61,-28.0,0.78,0.14,1.42
23.89,98.95,338.86,107.29,82.52,-110.0,-0.15,0.11,0.91
52.3,151.96,363.88,-1.33,-40.41,76.83,0.19,-0.2,0.85
-31.0,162.8,346.65,124.04,189.48,169.0,0.22,0.69,1.04
-34.0,152.31,324.34,-11.82,64.0,-101.0,1.08,0.18,0.02
51.8,114.88,308.56,-72.34,-59.94,-294.0,0.97,0.04,1.73
63.6,147.85,354.37,86.71,61.5,-112.5,0.02,-0.45,0.77
-53.0,147.17,338.18,-9.55,-106.09,167.0,0.44,-0.2,1.0
-91.0,150.5,309.64,195.21,127.87,205.0,0.85,-0.13,1.07
-31.0,138.25,320.98,-10.93,22.28,-171.0,0.62,0.23,0.19
61.5,131.39,332.74,-52.36,31.28,-294.0,0.85,0.08,1.4
54.9,143.76,365.63,80.34,-28.78,-102.0,-0.39,-0.2,0.68
-51.0,144.24,345.9,82.5,-4.64,198.44,0.86,-0.32,1.58
-90.0,129.17,316.92,155.43,58.24,177.7,0.32,-0.15,0.84
-13.0,125.67,326.48,-21.43,25.58,-164.0,0.9,0.36,0.25
60.1,132.32,340.58,-54.51,-30.58,-294.0,0.93,0.4,1.29
36.8,121.32,381.65,73.54,-5.01,-43.46,-0.67,-0.04,0.57
-67.0,126.94,343.77,91.31,38.17,194.64,0.66,-0.32,1.78
-91.0,132.54,346.88,183.41,-16.24,118.0,0.74,-0.22,0.57
33.7,131.76,341.11,-77.95,38.0,-219.0,0.99,0.03,0.86
55.3,154.36,370.36,54.7,33.69,-294.4,0.24,0.06,1.07
-45.0,157.24,364.32,26.24,6.15,108.82,-0.53,-0.06,0.67
-90.0,138.8,330.0,141.63,96.12,179.2,1.22,0.32,1.18
-34.0,139.37,345.32,27.18,36.84,-146.2,0.7,0.07,0.15
55.0,141.7,360.23,-69.11,-41.22,-294.0,0.82,0.23,1.58
52.3,181.66,399.12,97.25,13.55,-110.7,-0.31,-0.29,0.65
-71.0,180.02,362.88,95.2,28.69,177.47,1.48,-0.06,1.49
-91.0,180.67,348.9,176.58,154.06,169.0,0.55,0.21,0.89
2.54,162.76,343.89,-72.21,22.07,-229.0,0.5,0.21,0.33
37.6,162.51,399.01,0.18,26.25,-294.43,0.8,0.02,1.5
48.0,150.15,424.33,31.51,-45.45,8.22,-0.36,-0.2,0.36
-91.0,143.27,378.96,230.45,24.0,121.2,1.82,-0.17,1.47
-75.0,162.06,391.86,135.1,-21.74,155.0,0.17,0.22,0.62
35.3,142.73,368.74,-95.66,-2.53,-294.0,0.53,-0.17,0.82
45.1,188.5,421.08,93.41,79.0,-242.0,0.07,-0.1,1.18
-42.0,186.64,404.65,-25.82,-46.32,114.0,0.08,-0.08,0.69
-88.0,166.89,394.06,221.07,174.38,145.0,0.82,0.46,0.89
-13.0,170.99,402.64,-3.13,24.04,-136.8,0.55,0.23,-0.09
