yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.17,43.58,3.66,54.42,67.23,-55.68,0.12,-0.96,-0.14
-19.02,64.61,16.97,52.56,75.56,-61.54,0.23,-0.98,-0.03
-95.7,137.14,61.09,154.0,256.18,-309.0,1.21,-1.24,0.17
-19.6,148.9,92.01,110.67,44.44,-63.6,-0.58,-0.1,-0.03
59.19,96.77,70.31,-57.74,-151.47,190.0,1.59,-1.51,0.32
3.98,158.3,156.33,303.8,221.6,12.8,0.75,-1.21,0.37
-28.0,154.74,168.3,50.44,10.42,-92.06,0.28,0.47,-0.09
-79.0,142.36,108.54,-178.56,-19.75,-25.0,0.91,-0.64,1.43
-77.0,203.11,147.91,149.43,218.17,-251.0,-0.21,-0.52,0.53
24.5,151.34,131.24,-34.11,-143.22,79.0,0.47,-0.4,0.16
-24.2,88.86,177.33,174.51,-187.05,-78.0,2.0,-1.56,1.17
22.98,71.49,248.34,268.36,-49.04,73.9,0.02,-0.71,-0.2
-58.0,103.28,179.24,-196.47,119.54,-18.0,0.51,-0.54,0.15
-96.0,176.99,185.43,46.64,265.09,-309.0,1.48,-1.17,0.57
0.69,196.87,188.75,38.23,82.11,2.23,-0.19,-0.17,0.11
51.9,178.02,238.31,191.42,-34.29,167.0,1.5,-0.77,1.52
28.2,197.35,295.02,224.66,89.5,90.99,0.3,-0.42,0.43
-76.0,212.52,237.39,-154.33,79.99,-248.0,0.69,-0.46,0.72
-95.0,263.47,223.16,-16.58,204.69,-309.0,1.62,-0.64,0.99
28.2,239.95,212.4,-3.73,-51.52,90.91,-0.42,-0.45,0.29
51.3,257.05,287.88,281.65,93.84,166.1,2.0,-0.56,1.54
-24.0,251.29,318.33,-196.47,75.72,-260.0,0.7,0.24,-0.03
-80.0,263.4,246.47,81.13,302.41,-309.0,1.82,-78.85,0.0
-96.0,342.09,260.23,-19.74,-50.97,96.3,0.69,-0.84,0.74
29.8,313.85,242.89,303.8,77.86,47.2,1.09,-0.98,0.76
14.5,323.44,322.95,138.37,-39.82,-112.0,0.02,-0.14,0.11
-34.0,297.74,353.08,-196.47,-60.75,-21.0,1.92,-1.41,1.19
-67.0,267.49,280.58,61.47,296.63,-302.0,0.55,0.34,-0.41
-93.0,343.95,287.45,-41.69,-152.14,83.0,0.52,-0.32,0.97
25.8,285.22,261.66,303.8,130.36,13.9,1.03,-0.64,0.57
4.33,311.23,342.18,177.65,-77.64,-41.0,0.11,-0.33,-0.02
-12.0,273.59,382.44,-196.47,-49.07,-20.0,1.69,-0.31,1.07
-64.0,247.74,308.97,31.77,285.89,-309.0,0.68,0.05,-0.18
