yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.03,-2.09,0.29,12.81,-5.65,9.29,0.66,-0.14,0.77
-0.2,-2.25,2.65,8.7,0.83,-0.64,0.65,-0.12,0.73
4.19,-2.51,41.99,134.0,-0.74,13.57,0.71,-0.21,1.08
28.76,-8.64,66.5,84.94,-15.64,92.79,0.57,0.22,-0.05
-24.05,-19.07,1.15,-214.3,-33.2,-77.0,0.75,0.33,0.48
-20.0,-16.91,-6.54,-26.18,6.13,-64.74,0.81,0.03,0.97
19.58,-21.79,10.26,58.42,-13.7,63.18,0.74,-0.32,-0.07
-3.65,-13.37,-7.78,-60.75,24.64,-11.8,0.6,0.21,1.38
16.9,-20.52,42.42,165.99,-26.06,54.7,0.47,0.25,0.83
-6.46,-7.58,31.06,-32.17,48.3,-20.9,0.9,0.06,1.34
-30.74,2.79,-8.01,-127.59,34.45,-99.0,0.53,-0.21,0.5
12.2,7.22,12.5,69.96,17.38,39.47,0.75,-0.03,0.7
7.83,-4.22,0.32,-39.34,-35.17,25.3,0.71,0.29,0.93
24.08,-24.93,52.41,173.56,-69.42,77.9,0.92,-0.21,0.01
-8.11,-15.84,42.53,-24.69,33.64,-26.1,0.57,0.03,1.29
-39.09,10.31,8.24,-110.28,85.29,-126.0,0.25,0.03,0.86
5.68,-3.2,25.75,59.64,-45.91,18.37,0.48,-0.28,0.53
3.0,-3.02,13.2,-36.17,1.42,9.71,0.75,0.07,1.53
25.2,-16.22,52.82,134.34,-45.19,81.2,0.59,0.09,0.06
11.85,-15.05,60.89,32.85,8.48,38.36,0.72,0.16,1.32
-38.54,2.13,18.01,-137.41,55.79,-124.0,0.39,0.06,0.86
6.86,-11.94,31.71,47.92,-47.82,22.21,0.78,-0.23,0.63
1.85,-11.95,19.13,-36.55,1.06,5.97,0.72,-0.03,1.3
25.64,-29.76,61.36,144.85,-61.66,82.9,0.94,0.06,-0.02
9.74,-25.5,65.65,21.97,18.01,31.51,1.12,0.23,1.07
-33.7,-16.18,23.06,-136.11,30.18,-109.0,0.29,-0.03,0.62
4.5,-19.31,33.74,39.09,-13.23,14.52,0.89,-0.15,0.69
0.94,-19.67,16.92,-51.33,-0.82,3.04,0.8,0.23,1.26
28.69,-21.3,63.47,157.79,-7.8,92.86,0.94,0.04,0.06
13.46,-24.24,74.33,44.6,-5.17,43.56,0.84,0.12,1.02
-30.5,-10.02,25.18,-156.11,45.9,-98.0,0.35,0.02,0.82
-9.73,-13.37,30.78,21.79,-13.45,-31.4,0.7,-0.33,0.29
-6.56,-2.62,22.44,-21.0,38.25,-21.2,0.7,-0.03,1.44
18.38,5.09,53.85,108.81,25.18,59.47,0.28,0.37,0.17
18.22,16.19,81.59,93.69,38.67,58.77,0.67,0.41,0.71
-26.35,23.26,30.33,-165.1,27.42,-85.0,0.76,0.19,1.17
-18.49,9.92,21.09,-28.33,-41.33,-59.0,1.18,-0.71,0.28
4.2,19.88,32.33,44.57,38.67,13.6,0.22,0.16,1.23
10.09,27.85,33.95,8.57,26.87,32.54,0.58,0.27,0.84
-5.27,13.58,51.98,126.54,-58.39,75.7,1.02,-0.13,0.26
-42.49,33.52,31.73,-53.19,21.91,-17.0,0.55,0.24,1.37
11.56,19.14,35.21,-62.74,68.03,-137.0,0.5,0.03,0.79
-4.78,49.12,26.43,15.44,-43.31,37.17,0.88,-0.14,0.76
37.53,15.58,68.47,-24.16,106.23,-15.0,0.64,0.18,1.24
3.75,9.28,64.75,144.07,-106.73,121.0,1.0,-0.07,-0.18
-44.77,26.49,30.56,-3.03,-12.38,12.15,0.37,0.21,1.19
4.46,0.72,36.35,-107.74,57.45,-144.0,0.32,0.06,0.56
-8.38,18.23,24.1,22.64,-82.98,14.38,1.07,-0.37,0.43
26.11,7.34,63.36,-34.3,63.75,-27.2,0.69,-0.07,1.29
25.11,14.1,77.45,135.28,-34.27,84.2,0.6,0.0,0.18
-44.98,28.28,31.93,55.61,29.66,80.99,0.84,0.39,0.97
-8.73,33.56,30.04,-145.49,51.01,-145.0,0.73,0.13,1.03
-1.88,33.89,27.22,-3.11,22.44,-28.26,0.66,-0.44,0.47
19.39,26.32,61.47,-1.84,7.86,-6.07,1.04,0.01,1.31
10.31,43.46,85.93,118.47,-19.63,62.5,0.21,0.34,0.17
-25.13,57.44,38.37,83.62,61.32,33.37,0.83,0.3,0.68
-8.26,44.69,40.39,-151.05,55.53,-81.0,0.66,0.2,1.16
16.65,38.56,67.86,10.59,-35.2,-26.7,0.72,-0.46,0.37
22.27,38.58,94.59,-0.14,9.79,-17.08,0.55,0.18,1.57
-12.23,34.35,56.06,106.0,-16.87,53.8,0.83,0.19,0.6
-20.55,45.07,47.25,97.62,8.42,72.07,0.9,0.18,0.25
18.82,36.73,58.12,-118.81,-3.36,-39.0,0.93,0.2,1.2
6.56,51.51,38.19,-23.27,41.58,-66.0,0.78,-0.36,0.14
30.18,17.56,75.88,46.02,-17.34,60.9,0.96,0.08,0.89
-4.61,6.74,70.98,-60.05,57.18,21.24,0.53,0.35,1.1
-32.88,10.48,39.5,129.8,-108.14,97.0,1.19,-0.34,0.12
-5.42,3.19,33.67,-4.37,-28.1,-14.8,0.36,0.0,1.21
14.41,-2.52,70.48,-96.77,11.8,-106.0,0.32,0.0,0.83
14.61,-2.46,88.31,68.02,-43.01,21.6,0.7,-0.28,0.24
-27.02,21.27,49.31,-72.24,22.89,-17.5,1.01,-0.18,1.5
4.05,12.26,55.2,128.73,-18.14,46.5,0.65,0.09,0.15
-2.03,11.97,46.99,68.33,6.07,47.27,0.77,0.29,0.81
12.82,6.83,92.45,-121.73,81.36,-87.0,0.48,0.05,0.7
3.94,4.9,83.16,25.71,-26.65,13.07,0.82,-0.46,0.36
-30.0,13.8,39.77,-16.73,4.09,-6.56,0.74,0.2,1.37
6.69,-12.76,48.99,158.84,-15.87,41.6,0.86,-0.33,-0.02
-7.16,-8.86,44.35,-16.23,-0.21,12.71,0.76,0.08,1.01
14.54,-5.36,67.76,-135.78,31.69,-97.0,0.61,0.12,0.87
8.82,-19.55,93.49,35.25,-86.67,21.57,0.51,-0.33,0.25
-22.49,-5.09,44.53,-5.2,14.36,-23.18,0.85,-0.03,1.46
-4.96,-6.08,49.14,84.78,10.77,47.07,0.49,0.24,0.28
8.52,-15.88,53.95,92.52,-45.39,28.53,0.99,0.16,0.48
