yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.17,-59.24,-17.68,-37.76,-53.14,57.3,1.17,-0.3,0.17
-0.4,-57.92,-14.05,9.61,-1.11,-1.59,0.88,-0.25,0.15
2.38,-66.4,-14.38,-2.7,-34.21,7.69,0.88,-0.32,0.11
-52.98,-1.4,36.83,170.03,213.36,-171.0,1.61,-0.35,-0.08
74.41,-75.05,15.39,-74.02,-260.85,240.0,-0.32,0.26,0.2
7.66,-57.95,-27.43,-141.65,48.95,24.7,1.91,-0.8,0.46
-35.0,-24.18,-11.28,57.95,96.11,-114.8,-0.16,-0.49,-0.01
57.0,-100.8,-25.37,-47.47,-260.85,186.0,2.0,-1.13,-0.41
-56.2,-23.2,30.86,179.87,239.41,-181.0,-0.04,0.24,-0.53
65.3,-60.8,-21.61,-174.23,-128.91,21.0,0.67,-0.08,-0.37
-43.9,-2.23,-16.24,16.84,188.81,-141.0,1.68,-0.99,0.03
34.8,-20.57,-29.32,-39.52,-66.39,112.0,0.23,-0.56,-0.04
-45.02,1.44,26.79,184.9,73.76,-145.0,2.0,-0.56,0.41
21.59,-10.41,14.07,-46.74,-42.68,69.6,0.14,0.17,-0.16
-24.0,27.3,-10.28,-80.47,126.7,-77.0,1.93,-0.51,0.79
6.44,21.61,-10.8,2.43,-26.92,20.83,-0.2,-0.33,0.02
-3.95,-26.89,10.92,70.89,-158.46,-12.0,2.0,-0.41,0.63
-0.27,-16.23,12.07,3.55,25.1,-0.88,0.0,-0.02,-0.28
5.94,-18.59,-33.59,-152.16,-8.56,19.1,2.0,-0.57,0.73
-2.4,-16.76,-31.18,12.5,-2.7,-8.03,0.06,-0.57,0.01
13.78,-48.3,-1.98,93.39,-107.03,44.6,2.0,-0.43,0.82
-2.55,-39.73,7.77,30.95,21.7,-8.21,0.41,-0.06,-0.35
-8.1,-11.08,-28.81,-122.42,91.75,-26.0,1.99,-0.54,1.02
-18.34,6.4,-18.68,33.66,45.02,-59.36,-0.18,-0.2,0.12
41.2,-45.73,-19.57,-4.33,-173.52,133.0,1.87,-0.92,-0.05
-24.8,-10.17,14.77,111.87,112.47,-80.0,0.44,-0.09,-0.44
33.3,-21.44,-43.6,-195.04,-35.32,107.0,1.27,-0.14,0.11
-54.7,49.29,-22.19,67.47,236.92,-177.0,0.83,-0.41,0.06
79.1,-29.4,-47.18,-83.36,-260.85,255.0,0.67,-0.8,-0.37
-52.99,10.36,6.4,172.59,132.12,-170.0,1.45,-0.35,-0.16
44.0,-22.04,-27.1,-113.27,-107.05,14.0,0.56,-0.09,-0.32
-37.7,21.37,-27.3,-3.19,143.98,-121.0,1.67,-0.84,0.35
28.7,-10.07,-31.29,-10.45,-107.32,93.0,0.16,-0.39,0.04
-32.2,-13.12,24.45,182.14,-8.63,-104.0,1.88,-0.35,0.32
21.59,-18.13,-2.2,-87.51,-19.96,69.6,0.44,-0.09,-0.45
-36.1,27.96,-12.28,-33.42,153.7,-116.0,2.0,-0.93,0.73
10.15,15.19,-8.32,19.78,-47.97,32.75,-0.09,-0.42,-0.01
-16.1,-21.27,16.35,83.33,-119.51,-52.0,-0.37,0.15,-0.08
-7.6,-0.57,28.24,37.03,50.83,-24.59,1.63,-0.55,0.46
21.93,0.1,-27.64,-184.52,3.89,70.99,-0.15,-0.43,0.01
-34.59,33.41,-6.01,76.45,102.54,-111.0,2.0,-1.18,-0.13
52.7,-20.4,-13.15,-22.99,-174.98,169.0,0.15,0.17,-0.13
-31.06,22.39,21.28,106.31,138.87,-100.0,2.0,-0.75,-0.15
64.4,-13.86,-38.29,-196.92,-116.74,20.0,0.55,-0.57,0.02
-46.3,38.54,-22.66,51.39,173.47,-149.0,0.68,-0.7,-0.18
76.9,-40.47,-42.71,-66.5,-260.85,247.0,1.45,-0.51,-0.12
44.8,-70.13,-29.88,154.81,68.47,-143.0,0.59,-0.15,-0.28
-31.0,-36.71,-37.52,-116.7,-172.65,14.0,1.89,-0.98,0.23
11.4,-47.99,-34.95,-28.46,104.32,-101.0,-0.05,-0.44,0.03
-29.2,-55.57,12.01,12.3,-50.71,36.78,2.0,-0.99,0.35
-5.63,-52.06,18.1,154.75,-30.86,-94.0,-0.14,0.18,-0.16
0.94,-23.98,-21.77,14.29,-6.77,-18.2,2.0,-0.81,0.66
-13.0,-13.91,-14.2,-131.08,88.56,3.02,0.11,-0.44,-0.13
19.28,-39.54,-4.06,29.51,25.17,-43.36,1.81,-0.5,0.62
-16.8,-15.46,39.92,31.88,-86.56,62.38,0.76,0.08,-0.0
47.9,-48.81,-21.44,144.49,79.89,-54.6,0.97,-0.28,0.05
-43.01,5.61,-7.06,-201.0,-111.49,15.0,1.69,-0.69,0.2
61.7,-44.49,-24.92,46.07,178.1,-138.0,-0.26,-0.24,0.03
-29.7,-46.33,16.12,-57.71,-181.65,199.0,1.95,-0.68,-0.09
9.61,-48.65,14.82,134.77,-9.86,-96.0,0.05,0.1,-0.21
2.67,-34.68,-13.83,-7.87,-19.55,31.11,1.92,-0.86,0.5
-30.25,-24.82,0.83,-93.49,41.61,8.6,0.12,-0.37,-0.03
37.84,-69.84,5.07,54.89,23.69,-97.91,2.0,-0.62,0.35
-21.5,-39.9,30.62,14.27,-152.33,122.0,0.31,0.09,-0.17
34.9,-55.97,-24.51,82.59,92.18,-69.81,0.42,-0.41,0.16
-38.6,-18.32,-9.81,-180.93,-57.93,112.0,1.76,-0.8,0.14
59.6,-51.77,-15.1,49.5,117.63,-124.0,0.88,0.07,-0.02
-20.4,-40.84,13.13,-18.2,-113.71,193.0,0.89,-0.39,-0.29
49.3,-90.89,-41.76,89.81,34.01,-65.86,1.61,-0.89,-0.27
-56.0,-33.24,-19.44,-181.94,-172.69,15.0,-0.22,-0.12,0.07
51.0,-73.97,-30.37,71.1,182.92,-182.0,2.0,-1.14,0.25
-23.9,-75.92,18.81,-38.0,-156.3,164.0,-0.11,0.23,-0.2
5.84,-79.94,19.65,162.77,-15.67,-77.0,2.0,-1.09,0.51
-5.2,-58.81,-4.13,-3.03,-33.71,18.83,-0.14,-0.27,0.0
-10.78,-49.55,8.04,-76.13,61.18,-16.8,2.0,-0.96,0.53
25.84,-89.89,9.12,46.55,12.35,-34.9,0.01,0.05,-0.24
-20.9,-58.03,37.72,5.69,-141.16,83.35,1.85,-0.55,0.38
23.13,-55.64,0.21,93.78,88.39,-67.74,0.29,-0.31,0.08
-32.1,-14.82,15.22,-121.14,2.43,74.6,1.38,-0.75,0.14
51.35,-51.08,1.05,54.42,128.6,-103.0,0.94,-0.06,0.07
-35.1,-12.79,42.61,-44.12,-122.82,165.0,1.0,-0.24,-0.05
48.7,-40.12,-10.44,138.37,126.36,-113.0,1.38,-0.6,0.26
-29.47,1.77,-10.02,-173.09,-90.5,157.0,0.18,-0.6,0.09
41.6,-39.63,-20.16,0.75,136.84,-95.07,1.57,-0.42,0.1
