yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.0,1.32,-2.85,-1.8,-3.0,0.72,0.85,-0.47,0.01
-2.16,7.25,3.48,22.91,20.81,-7.0,0.82,-0.48,-0.06
-34.23,30.26,52.84,167.56,79.36,-110.0,0.59,-0.4,-0.22
-8.92,46.82,35.07,-50.41,59.43,-28.7,0.98,-0.43,1.08
-24.64,79.92,15.96,-59.6,115.87,-79.0,0.41,-0.61,-0.29
6.54,87.83,54.14,135.49,34.32,21.16,1.06,-0.27,0.59
23.76,75.75,36.58,-52.31,-28.35,76.9,1.7,0.09,0.66
-24.2,123.54,91.56,186.53,172.08,-77.0,0.59,-0.17,-0.09
-9.16,124.73,71.67,-54.73,22.97,-29.6,1.47,-0.08,1.21
-26.1,144.18,47.79,-72.63,81.81,-84.6,0.45,-0.65,-0.19
1.79,138.9,68.85,82.5,-1.25,5.78,1.8,0.11,0.97
24.35,122.64,65.43,-4.76,-35.03,78.56,0.54,0.24,0.54
-0.1,129.72,115.48,173.11,38.75,-0.37,0.67,0.36,0.35
-8.0,117.83,68.27,-149.11,-22.76,-25.0,1.07,0.05,0.94
-21.4,140.03,68.53,7.62,89.64,-69.31,0.63,-0.34,-0.0
-10.0,159.03,68.6,11.13,83.61,-32.51,1.35,0.25,1.13
1.97,151.94,96.4,99.72,-3.18,6.36,0.77,-0.39,-0.3
1.59,162.55,102.82,35.9,56.65,5.14,1.64,-0.01,1.3
-5.9,186.18,53.49,-154.55,101.17,-19.0,1.3,-0.55,0.41
-10.2,183.37,77.42,88.39,16.59,-33.03,0.34,-0.16,0.13
32.36,155.57,54.89,-64.31,-68.16,104.0,1.28,-0.09,0.79
0.95,121.62,81.38,95.04,-93.03,3.07,0.22,-0.18,-0.24
29.02,110.88,39.66,18.07,92.85,-84.38,1.66,-0.3,0.46
-12.4,126.47,63.13,-135.23,-93.09,93.0,0.91,-0.23,0.31
1.42,136.96,33.82,84.14,69.13,-40.39,1.06,-0.03,0.59
-11.0,124.28,52.77,-92.21,53.24,4.59,1.28,-0.15,0.66
10.98,118.39,82.78,67.12,-23.28,-35.7,0.53,-0.33,-0.74
-6.24,120.14,35.44,108.15,-6.01,35.3,1.17,0.24,0.6
-10.4,108.9,31.16,-151.96,22.75,-20.0,1.25,-0.19,0.99
-4.51,120.63,53.27,-10.87,-22.16,-33.0,0.41,-0.83,-0.38
13.99,103.47,42.2,83.88,49.92,-14.54,1.24,0.08,1.19
-4.13,113.13,86.22,-32.51,-42.58,45.1,0.43,0.3,0.07
-8.25,105.51,36.78,147.3,46.42,-13.3,1.02,0.02,0.27
