yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.05,5.56,-30.23,7.25,2.99,-15.03,0.11,-0.94,0.17
-4.15,3.13,-27.61,11.05,-8.4,-13.39,0.17,-0.95,0.16
-2.46,-2.16,18.15,153.27,-18.04,-7.9,0.35,-1.24,1.0
-15.49,2.38,60.74,150.23,10.33,-50.1,-0.05,-0.15,0.07
2.05,9.26,16.84,-139.29,19.95,6.63,-0.16,-0.53,0.81
-9.75,6.47,33.76,60.25,-9.04,-31.47,0.34,-1.13,1.43
-17.69,12.14,72.55,134.71,20.62,-57.2,0.16,-0.18,0.36
3.71,13.29,35.18,-118.34,4.88,11.99,0.14,-0.15,0.62
-4.8,5.85,18.92,-49.82,-25.11,-15.0,0.11,-0.91,1.51
-14.21,-9.37,64.18,155.44,-51.4,-45.0,0.14,-0.5,0.69
-1.8,-0.92,48.63,-51.39,24.5,-5.84,-0.02,0.2,0.37
-2.54,1.22,9.32,-125.2,5.57,-8.21,0.17,-0.95,1.35
-10.75,-2.92,53.71,151.83,-15.17,-34.0,0.16,-0.77,1.04
-8.82,-15.16,55.23,4.0,-43.65,-28.46,0.01,0.24,0.37
0.29,-19.49,11.65,-138.79,-18.13,0.9,0.14,-0.73,1.06
-9.48,-27.8,46.77,120.68,-32.35,-30.0,0.12,-0.85,1.23
-5.81,-15.25,59.1,42.54,38.06,-18.74,0.11,0.07,0.43
0.0,-20.83,24.18,-108.78,-21.78,0.0,0.21,-0.67,0.98
-13.3,-32.12,61.67,130.0,-42.14,-43.0,0.2,-0.81,1.28
-8.44,-20.48,71.01,34.16,36.12,-27.33,0.15,0.08,0.3
-3.98,-16.76,23.17,-151.35,7.18,-12.8,-0.04,-0.64,1.03
-6.72,-29.2,62.86,137.29,-46.14,-21.0,0.04,-0.81,1.14
-11.1,-17.69,69.98,25.45,34.07,-36.07,0.08,0.15,0.36
-2.31,-12.26,24.83,-141.87,14.16,-7.4,0.08,-0.63,0.88
-8.43,-23.58,53.72,101.53,-40.85,-27.0,0.26,-0.89,1.24
-11.7,-19.17,75.43,74.95,11.48,-37.93,0.11,0.07,0.38
2.43,-12.12,36.26,-122.13,20.87,7.88,0.23,-0.42,0.78
-10.57,4.87,53.38,63.28,55.26,-34.22,0.33,-0.17,0.47
-14.04,-4.2,95.31,146.81,-27.79,-45.0,0.16,-0.01,0.67
0.64,-3.36,57.62,-117.24,1.71,2.06,0.09,-1.06,1.59
-7.19,-1.51,31.15,-80.83,3.83,-23.26,0.2,-0.64,0.8
-9.81,-7.26,78.55,165.14,-20.39,-31.0,0.19,0.27,0.35
-4.55,-10.44,63.92,-47.24,-10.87,-14.0,0.42,-0.92,1.42
4.85,13.53,28.04,-111.64,78.69,15.6,0.43,-0.77,1.08
-7.35,8.99,67.3,136.72,-13.4,-23.0,0.1,0.19,0.21
-8.15,11.79,67.55,0.69,10.97,-26.31,0.44,-0.86,1.01
-0.41,15.6,24.53,-134.6,13.3,-1.3,0.26,0.18,0.37
-13.6,-11.91,63.95,136.96,-90.23,-44.0,0.2,-0.75,1.01
0.48,-4.18,58.74,-15.72,26.56,1.55,0.19,-0.88,1.18
-0.37,4.48,21.99,-115.07,27.53,-1.1,0.28,0.19,0.31
-8.65,-1.54,62.21,139.48,-21.01,-28.0,0.25,-0.71,0.74
-12.34,1.9,79.49,59.31,14.06,-39.81,0.19,-0.95,1.13
5.28,6.82,27.22,-163.75,16.38,17.1,0.3,0.14,0.29
-3.9,-6.41,62.33,123.48,-45.06,-12.0,0.09,-0.57,0.87
-7.2,-1.43,79.32,59.02,19.32,-23.23,0.2,-0.85,1.19
-0.66,9.46,39.17,-123.74,34.7,-2.1,0.02,0.16,0.37
-9.09,2.31,75.51,128.59,-24.09,-29.0,0.27,-0.65,1.19
-6.01,5.82,82.6,26.94,10.16,-19.46,0.37,-0.82,1.22
0.86,7.89,35.95,-146.27,7.01,2.77,0.06,0.23,0.25
-11.02,1.9,71.56,124.99,-19.48,-35.0,0.25,-0.95,1.31
-2.42,4.37,68.61,-9.91,7.59,-7.85,0.11,-0.63,0.91
3.77,14.6,32.45,-111.78,33.92,12.1,-0.05,0.11,0.46
-12.01,4.55,72.59,140.42,-33.46,-38.0,0.12,-0.87,1.65
-2.02,4.54,57.33,-47.28,-2.54,-6.52,0.13,-0.44,0.8
-3.72,11.55,36.73,-61.94,22.42,-12.0,0.18,-0.12,0.75
-10.41,3.93,75.47,135.45,-25.33,-33.0,-0.17,-0.99,1.67
-0.03,3.5,49.73,-79.38,-1.43,-0.08,0.16,-0.29,0.67
-8.87,-1.06,37.96,-32.65,-17.85,-28.0,0.04,-0.14,0.53
-16.8,-11.4,73.98,125.25,-35.51,-54.0,0.21,-0.91,1.79
4.54,-7.44,42.75,-97.26,10.08,14.7,0.19,-0.18,0.44
-7.1,-15.89,49.3,27.49,-30.99,-22.9,0.26,-0.24,0.61
-10.8,-19.24,84.34,123.28,-12.84,-34.0,0.07,-1.0,1.76
6.12,-24.73,50.26,-104.44,-20.4,19.0,0.18,0.05,0.32
-4.22,-7.1,63.4,51.12,54.05,-13.64,0.22,-0.5,0.96
-16.0,-10.22,92.51,101.64,-9.94,-51.9,0.13,-0.98,1.54
7.55,-5.44,54.38,0.95,24.37,0.0,0.13,0.11,0.39
-10.3,-10.06,81.55,99.35,-18.1,-33.4,0.09,-0.52,0.73
-10.9,-9.04,102.31,74.76,2.13,-35.35,0.4,-0.77,1.19
5.57,-8.49,59.0,-131.43,-0.87,18.0,-0.02,0.13,0.46
-21.2,-6.05,101.22,150.12,6.85,-68.57,-0.14,-0.37,0.67
-9.9,-15.21,107.84,29.85,-34.38,-32.2,0.1,-0.62,0.99
-4.82,-21.72,57.64,-154.24,-27.61,-15.0,-0.07,0.04,0.38
-15.8,-30.52,94.81,133.46,-34.24,-51.0,0.08,-0.77,1.36
-1.37,-26.09,78.03,-48.2,7.08,-4.4,0.13,-0.41,0.8
-4.33,-28.68,59.95,-50.39,-14.14,-14.0,0.06,-0.14,0.61
-7.49,-40.45,96.21,130.04,-44.8,-24.0,0.12,-0.96,1.89
1.34,-37.64,65.5,-92.73,2.45,4.33,0.08,-0.12,0.39
-4.77,-41.74,67.33,14.61,-20.7,-15.4,0.05,-0.45,0.77
-11.7,-44.23,96.15,104.23,-14.89,-37.0,0.1,-0.87,1.54
5.73,-41.88,58.84,-112.65,0.08,18.53,0.08,0.16,0.22
-3.01,-44.89,86.32,100.62,-17.72,-9.7,0.25,-0.74,0.99
-9.9,-26.39,97.3,40.04,56.15,-31.95,0.06,-0.64,1.0
1.66,-25.45,57.55,-119.97,-1.14,5.36,0.01,0.08,0.39
-13.4,-32.81,95.27,134.96,-30.06,-43.0,0.26,-0.96,1.77
1.14,-23.49,75.84,-57.99,24.73,3.66,0.14,-0.18,0.37
-1.36,-23.87,63.35,-31.99,-5.8,-4.4,0.17,-0.39,0.86
-17.2,-38.42,98.28,125.73,-52.01,-55.0,0.16,-0.86,1.49
8.65,-33.02,60.7,-113.77,12.02,27.9,0.03,0.17,0.18
-8.15,-38.08,91.96,113.32,-23.08,-26.0,0.38,-0.91,1.52
-4.78,-31.9,90.31,-2.73,14.28,-15.46,0.21,-0.43,0.75
1.66,-23.21,58.2,-95.95,24.31,5.37,0.1,-0.13,0.61
-14.0,-29.85,100.37,149.93,-25.98,-46.0,0.32,-0.93,2.0
8.11,-25.7,68.66,-95.08,8.83,26.08,0.07,-0.0,0.44
-2.03,-24.36,68.71,8.81,-0.16,-6.58,0.1,-0.47,0.75
-14.0,-31.34,93.67,89.49,-27.92,-45.5,0.15,-0.9,1.46
4.41,-30.52,48.25,123.7,-25.17,-30.0,0.19,0.17,0.25
-9.6,-36.3,83.04,58.64,8.41,-38.95,0.06,-0.57,0.89
-12.0,-32.96,99.5,-126.35,7.24,21.59,0.13,-0.85,1.41
6.67,-28.93,57.91,119.13,-33.54,-24.0,0.17,0.14,0.33
-7.59,-37.22,90.85,43.06,-0.81,-26.06,0.17,-0.66,1.02
-8.0,-36.32,102.0,-132.17,34.29,4.3,0.06,-0.93,1.32
1.33,-24.32,58.58,138.58,-24.45,-31.0,0.02,0.28,0.24
-9.75,-30.0,97.11,36.6,-4.95,-24.19,0.02,-0.78,1.14
-7.5,-29.73,107.25,-137.7,-7.04,-3.7,0.05,-0.7,1.08
-1.17,-29.98,61.76,150.99,-26.21,-22.0,-0.09,0.36,0.28
-6.9,-35.96,103.92,-1.24,-11.11,-10.1,0.01,-0.7,1.15
-3.1,-36.68,102.59,-118.32,23.4,2.87,0.21,-0.71,1.13
0.89,-27.6,63.3,136.38,-44.59,-44.0,-0.07,0.29,0.16
-13.0,-39.43,101.25,-4.66,-8.59,-10.63,0.26,-0.97,1.34
-3.29,-39.27,99.32,-102.71,13.84,13.1,0.26,-0.6,0.9
4.05,-33.27,64.63,151.64,-25.14,-45.0,0.1,0.1,0.41
-14.0,-39.25,106.89,-75.68,-6.29,19.17,0.26,-1.01,1.75
5.96,-39.37,81.71,-54.97,-27.35,-13.0,0.27,-0.39,0.59
-4.27,-45.51,62.12,126.6,-32.72,-29.0,0.05,-0.15,0.6
-9.18,-53.56,97.12,-97.9,11.67,3.16,0.03,-1.03,1.8
0.98,-47.44,64.81,19.86,-46.08,-16.2,0.2,-0.27,0.53
-5.04,-58.6,68.1,127.58,-51.24,-51.0,0.24,-0.29,0.61
-15.0,-71.51,103.38,-118.25,34.94,22.8,0.04,-1.02,1.94
7.08,-58.34,64.26,83.89,-58.46,-11.3,0.09,-0.04,0.31
-3.51,-72.7,86.63,83.63,3.24,-39.88,0.07,-0.56,0.79
-12.0,-68.77,108.95,-136.45,31.23,12.8,0.2,-0.82,1.42
3.98,-56.2,63.73,129.32,-28.17,-38.0,0.07,0.26,0.16
-11.7,-61.89,99.52,50.71,25.8,-30.08,0.35,-0.83,0.93
-9.3,-51.6,113.97,-175.97,28.54,17.8,0.32,-0.88,1.26
5.54,-40.95,56.44,163.44,0.49,-41.77,-0.09,0.34,0.21
-12.0,-38.95,102.47,-0.73,-4.65,-16.64,0.32,-0.74,1.35
-5.1,-37.59,101.58,-121.6,-12.04,-11.0,0.32,-0.65,1.11
-3.54,-39.45,61.5,141.09,-28.65,-37.0,-0.03,0.23,0.22
-11.0,-46.29,101.15,-14.34,18.52,-6.86,0.11,-0.72,1.58
-2.12,-38.07,95.91,-112.8,-11.47,-2.0,0.25,-0.33,0.81
-0.93,-39.42,58.69,144.59,-40.73,-51.0,0.11,0.09,0.51
-16.0,-49.88,99.55,-100.06,-5.92,21.3,0.06,-1.05,1.96
6.62,-49.44,67.33,-19.1,-31.5,2.55,0.21,-0.21,0.59
0.79,-56.19,59.01,128.55,-25.41,-62.0,0.18,-0.11,0.66
-19.2,-61.53,95.2,-129.46,2.07,18.87,-0.41,-0.92,1.86
5.85,-58.36,53.67,36.31,-10.58,-15.5,0.26,-0.04,0.31
-4.83,-58.03,62.47,119.09,-13.59,-54.0,0.3,-0.43,0.93
-16.9,-60.65,96.21,-144.04,19.89,17.6,0.37,-0.81,1.4
5.48,-52.27,49.72,134.83,-37.54,-48.0,0.04,0.26,0.25
-14.9,-61.14,87.73,13.24,-6.43,-22.0,-0.49,-0.5,0.98
-6.84,-60.17,91.17,-151.48,39.05,-7.1,0.16,-0.7,1.14
-2.21,-44.53,42.78,146.41,-28.51,-41.0,-0.02,0.2,0.21
-12.9,-50.79,84.4,-31.61,-6.98,-14.5,0.14,-0.85,1.59
-4.49,-49.98,74.53,-82.75,19.96,-17.3,0.14,-0.47,0.75
-5.39,-41.52,46.97,144.81,-36.15,-34.0,0.08,-0.07,0.52
