yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.08,-12.43,4.02,-2.86,-18.51,19.57,0.24,-0.17,1.07
0.87,-17.55,2.46,-8.12,-18.94,2.83,0.26,-0.04,0.94
18.3,-2.31,-32.6,-119.85,52.11,59.4,0.24,-0.1,0.29
-0.62,-14.44,-9.39,74.77,-42.01,-2.0,0.38,-1.48,1.98
-6.38,-24.25,22.88,96.31,-38.09,-20.5,-0.06,0.35,0.25
22.4,-17.57,-35.85,-193.94,19.11,72.7,0.17,-0.39,0.53
-6.83,-41.75,-8.81,86.7,-85.7,-22.1,0.07,-1.01,1.71
1.07,-30.54,-0.62,12.69,30.52,3.48,0.03,0.45,-0.12
6.42,-29.43,-53.72,-177.94,-0.79,20.7,0.43,-1.04,1.62
-16.55,-36.97,0.53,178.24,-30.62,-53.0,0.09,-0.55,0.51
20.1,-12.81,-41.68,-146.29,79.66,65.3,0.35,0.02,0.42
-0.5,-14.39,-46.33,-21.25,-8.02,-1.74,0.33,-1.07,2.0
-12.0,-37.85,-8.92,108.65,-79.35,-38.0,0.12,0.22,0.11
17.4,-10.64,-64.64,-189.04,84.5,56.6,-0.0,-0.35,0.66
-6.6,-37.49,-34.33,94.36,-93.59,-21.2,0.05,-1.16,1.57
0.65,-35.37,-22.1,25.46,3.36,2.09,0.14,0.27,0.13
16.5,-15.19,-82.93,-206.76,61.43,53.5,0.05,-0.78,1.02
-9.6,-43.32,-43.96,121.62,-97.09,-31.0,0.31,-1.02,1.12
4.56,-49.2,-45.77,-23.09,-27.62,14.7,0.01,0.26,0.19
7.61,-47.13,-91.61,-159.3,-2.26,24.6,-0.11,-1.03,1.31
-11.0,-63.58,-40.35,162.13,-62.2,-36.0,0.19,-0.69,0.69
17.0,-59.86,-71.75,-117.23,1.56,55.32,-0.01,0.09,0.31
1.73,-50.06,-97.7,-97.49,22.2,5.6,-0.18,-0.87,1.84
-12.0,-77.42,-58.07,120.46,-96.59,-40.0,0.31,-0.26,0.38
19.0,-53.51,-104.3,-163.34,70.54,61.5,0.35,-0.36,0.8
-1.0,-68.0,-74.84,86.01,-57.58,-3.36,0.16,-1.15,1.75
-5.2,-71.19,-60.51,29.17,-16.16,-17.0,0.24,0.22,0.12
13.0,-39.48,-111.03,-177.83,95.72,44.9,0.07,-0.51,0.81
-6.8,-48.36,-66.14,136.42,-35.31,-22.0,0.37,-0.79,1.24
3.32,-50.02,-83.16,-76.63,-14.83,10.7,-0.04,0.36,0.29
12.0,-27.74,-112.04,-107.7,68.56,39.7,0.58,-1.11,1.54
-11.0,-39.77,-68.58,132.05,-43.64,-37.0,0.26,-0.4,0.57
16.0,-25.57,-105.92,-135.74,42.72,53.3,0.13,-0.11,0.35
7.87,-17.96,-92.13,32.33,20.23,25.47,0.04,-0.96,1.77
-7.3,-12.12,-70.67,55.15,16.45,-23.93,0.05,0.04,0.3
25.6,-2.54,-111.81,-146.83,30.35,83.1,0.3,-0.79,0.97
-6.2,-18.25,-76.11,106.06,-55.0,-20.0,0.01,-0.98,1.23
-0.4,-20.93,-72.44,-6.06,-13.7,-1.51,-0.0,0.16,0.25
14.0,-20.32,-109.47,-133.96,0.49,46.66,0.73,-0.92,1.26
-13.0,-40.34,-67.22,128.22,-71.45,-43.0,0.1,-0.47,0.76
15.6,-35.91,-95.55,-109.64,10.13,50.2,0.12,0.09,0.31
6.18,-42.78,-97.32,-18.7,-28.44,20.0,0.49,-1.08,1.92
-3.6,-44.96,-73.48,64.92,-9.61,-11.67,0.3,-0.08,0.33
21.0,-33.02,-111.83,-139.71,33.78,67.9,0.23,-0.43,0.94
-6.2,-42.75,-89.83,59.11,-37.46,-20.1,0.38,-0.91,1.48
4.8,-39.22,-85.76,-9.62,7.23,15.54,0.09,0.18,0.09
11.0,-23.12,-127.76,-152.57,47.2,36.4,0.07,-0.81,1.29
-12.0,-40.52,-85.47,126.33,-61.98,-40.0,0.23,-0.54,0.74
18.0,-41.12,-123.96,-142.71,-8.61,58.2,0.06,-0.08,0.45
